provisional_id,normalized_entropy,normalized_entropy_s,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
NW_024010782.1_1455,0.3076273660425835,0.4249843630034522,-27.6,2,2,2040.6,96.0,2.0,4000,3842,1,157,yes,False,22,False,22,60,Candidate
NW_024010826.1_1562,0.0526638700225484,,-20.2,2,2,1.5,92.0,2.0,572,572,0,0,yes,False,24,False,22,61,Candidate
NW_024010826.1_1635,0.0025531250723822,0.0,-21.1,2,2,38293.7,96.0,2.0,75110,75081,0,29,yes,False,22,True,23,59,Confident
NW_024010826.1_1671,0.9343521554505476,,-30.0,2,2,1.6,92.0,2.0,157,157,0,0,yes,False,22,True,22,83,falsepositive
NW_024010826.1_1832,0.027261129025042,0.3281737668028029,-25.2,2,2,3035.4,96.0,2.0,5952,5897,2,53,yes,False,22,True,22,60,Candidate
NW_024010826.1_1854,0.7266387487814269,0.0,-36.7,2,2,1.7,92.0,2.0,118,118,0,0,yes,False,22,True,22,50,falsepositive
NW_024010826.1_1921,0.0826910759304196,0.251930704736244,-25.3,0,2,246924.4,96.0,2.0,484330,479223,0,5107,yes,False,23,False,21,57,Confident
NW_024010830.1_2233,0.0017899246429018,0.2580186683762764,-21.6,1,3,164475.8,96.0,2.0,322612,322589,0,23,yes,False,22,True,24,60,Confident
NW_024010830.1_2357,0.565929585221459,0.7725068854411883,-8.9,3,4,120.1,96.0,2.0,254,252,0,2,no,False,22,False,19,42,falsepositive
NW_024010830.1_2450,0.018972377497756,0.0,-22.5,2,3,1239.2,96.0,2.0,2430,2363,0,67,yes,False,23,True,22,60,Candidate
NW_024010830.1_2764,0.0026291455161146,0.1437261696508427,-26.5,2,2,22762.2,96.0,2.0,44646,44597,0,49,yes,False,22,True,22,55,Candidate
NW_024010847.1_3530,0.4104190767848225,0.0,-31.8,1,2,25.2,96.0,2.0,47,35,0,12,yes,False,21,False,22,61,falsepositive
NW_024010847.1_3571,0.0,,-20.9,2,3,1.1,92.0,2.0,36,36,0,0,yes,False,22,True,23,60,Candidate
NW_024010847.1_3574,0.0,,-20.0,2,2,1.9,92.0,2.0,20,20,0,0,yes,False,22,True,22,74,falsepositive
NW_024010847.1_3575,0.2837775865748221,,-27.0,2,2,1.1,92.0,2.0,76,76,0,0,yes,False,21,False,22,54,Candidate
NW_024010847.1_3681,0.0,0.0,-24.8,2,0,13.4,96.0,2.0,24,23,0,1,yes,False,22,False,20,61,Candidate
NW_024010847.1_3684,0.0,0.0,-20.9,2,2,18.9,96.0,2.0,36,34,0,2,yes,False,21,False,21,57,Candidate
NW_024010847.1_3841,0.7215840462452668,0.0,-19.9,3,0,152.0,96.0,2.0,296,293,0,3,yes,False,22,False,19,53,falsepositive
NW_024010847.1_3919,0.0359673870489969,0.0,-28.2,2,1,3758.6,96.0,2.0,7370,7355,0,15,yes,False,22,True,22,63,Candidate
NW_024010847.1_3921,0.4630066886027723,0.6500224213598151,-21.3,3,1,262.2,96.0,2.0,512,507,0,5,yes,False,22,True,21,60,Candidate
NW_024010847.1_3925,0.0336721428460529,0.0,-21.4,2,0,302.7,96.0,2.0,592,555,0,37,yes,False,23,True,23,60,Candidate
NW_024010847.1_3927,0.542995657081256,0.2081905935654466,-22.3,3,1,321.9,96.0,2.0,630,589,0,41,yes,False,25,True,23,60,Candidate
NW_024010847.1_3929,0.0024546829820523,0.5032583344871068,-27.9,2,1,11415.2,96.0,2.0,22389,22373,0,16,yes,False,23,True,21,59,Candidate
NW_024010847.1_3984,0.0,0.0,-21.6,2,2,33.2,96.0,2.0,64,32,0,32,yes,False,22,False,22,58,Candidate
NW_024010847.1_3990,0.0614788000962611,0.0,-27.9,2,3,643.7,96.0,2.0,1261,1259,0,2,yes,False,23,True,21,55,Candidate
NW_024010847.1_3995,0.0,0.0,-18.2,2,1,24.6,96.0,2.0,47,43,0,4,yes,False,22,True,21,58,falsepositive
NW_024010847.1_4011,0.3222171987373542,,-30.6,2,2,0.7,80.0,3.0,789,789,0,0,yes,False,18,False,19,77,falsepositive
NW_024010847.1_4260,0.0,0.0,-18.9,2,4,4.2,95.0,2.0,8,5,0,3,yes,False,22,False,24,64,falsepositive
NW_024010858.1_4903,0.4108378382283887,,-24.8,2,4,0.3,80.0,3.0,97,97,0,0,yes,False,22,False,22,63,falsepositive
NW_024010871.1_6044,0.0416768255565343,0.7219280945988233,-25.8,2,2,91958.8,96.0,2.0,180371,180367,0,4,yes,False,23,False,22,59,Confident
