provisional_id,normalized_entropy,normalized_entropy_s,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
NC_000932.1_47240,0.1376792893365587,0.9109715209417472,-9.6,0,1,195.2,17.0,13.0,398,389,0,9,no,False,24,True,24,58,Candidate
NC_000932.1_47893,0.078551488085748,0.8150113619688043,-24.6,2,2,9451.3,17.0,13.0,18551,18116,184,251,no,False,21,True,19,75,falsepositive
NC_000932.1_48278,0.1385498463389598,0.6832391147572938,-10.1,1,0,331832.0,17.0,13.0,650895,650827,0,68,no,False,25,True,25,55,Candidate
NC_003070.9_10329,0.8366407416526283,0.0,-47.2,2,2,2.1,13.0,12.0,31,30,1,0,yes,False,20,True,20,84,falsepositive
NC_003070.9_10801,0.1830966053466148,0.6183850615812186,-29.6,2,2,174.7,17.0,13.0,336,155,70,111,yes,True,21,False,21,87,Confident
NC_003070.9_10889,0.0,0.0,-21.4,2,7,78.1,17.0,13.0,154,141,4,9,yes,False,25,True,20,75,Candidate
NC_003070.9_10961,0.707407748240812,0.9463946300841144,-18.7,3,2,15.4,17.0,13.0,30,27,2,1,yes,False,24,True,24,83,falsepositive
NC_003070.9_1213,0.6544294330775958,0.0,-11.2,2,4,20.1,17.0,13.0,51,50,0,1,yes,False,24,True,23,52,falsepositive
NC_003070.9_1429,0.7208346464721126,0.8613531158361186,-13.5,1,1,74.6,17.0,13.0,164,154,4,6,no,False,25,True,23,76,falsepositive
NC_003070.9_1595,0.2039626180902514,0.944364897541868,-20.9,5,5,0.5,22.0,10.0,235,219,13,3,yes,False,23,False,23,81,falsepositive
NC_003070.9_2695,0.6024505015278796,0.8112781241705938,-25.5,1,0,46.9,17.0,13.0,90,88,0,2,yes,False,24,True,23,63,falsepositive
NC_003070.9_4183,0.6593612512575849,0.0,-11.2,2,4,11.3,17.0,13.0,51,50,0,1,no,False,24,True,23,52,falsepositive
NC_003070.9_4410,0.3707148821539955,0.9999999997114608,-13.4,2,2,70.4,17.0,13.0,156,155,0,1,no,False,24,False,21,77,falsepositive
NC_003070.9_6588,0.6593612512575849,0.0,-11.2,2,4,10.7,17.0,13.0,51,50,0,1,no,False,24,True,23,52,falsepositive
NC_003070.9_7857,0.5770126288602979,0.0,-11.5,1,2,0.8,22.0,10.0,23,22,0,1,no,False,24,True,23,49,falsepositive
NC_003070.9_82,0.246102514204759,0.8710739266947433,-23.6,3,1,89.8,17.0,13.0,188,112,75,1,no,False,18,True,19,80,falsepositive
NC_003070.9_8266,0.5270899536751752,0.8649735204448554,-16.2,3,1,72.1,17.0,13.0,143,142,0,1,yes,False,24,True,24,74,falsepositive
NC_003070.9_9029,0.1628885828175928,0.8819414626299845,-21.6,6,0,1527.6,17.0,13.0,3010,2983,4,23,no,False,18,False,24,78,falsepositive
NC_003070.9_9437,0.393715281289579,0.962961064483847,-20.6,1,5,0.1,22.0,10.0,74,65,9,0,yes,False,23,False,20,82,falsepositive
NC_003071.7_12045,0.7732266739990954,,-12.7,2,0,0.0,22.0,10.0,22,22,0,0,yes,False,24,True,22,58,falsepositive
NC_003071.7_13088,0.3820736167753887,0.962961064483847,-21.3,2,1,0.1,22.0,10.0,712,708,4,0,yes,False,18,False,19,74,falsepositive
NC_003071.7_13271,0.3458829935694402,0.7834991486794676,-23.4,8,7,0.8,22.0,10.0,476,271,198,7,yes,False,24,False,23,82,falsepositive
NC_003071.7_14681,0.0779239450178703,0.6500224213598151,-14.2,5,3,336.3,17.0,13.0,666,661,0,5,yes,False,22,True,21,63,Candidate
NC_003071.7_14985,0.2077955673386771,0.0,-17.7,2,3,0.6,22.0,10.0,219,219,0,0,yes,False,23,False,28,71,falsepositive
NC_003071.7_15588,0.1720369490645747,0.9999999997114608,-25.3,2,2,1.7,28.0,11.0,38,38,0,0,yes,False,22,True,21,66,Candidate
NC_003071.7_17346,0.6483686869606089,0.9999999997114608,-20.6,1,3,59.3,17.0,13.0,118,117,0,1,yes,False,21,True,24,46,falsepositive
NC_003071.7_17624,0.427698430768684,0.6695919452627075,-10.8,5,3,23.5,17.0,13.0,68,58,3,7,no,False,24,True,22,86,falsepositive
NC_003074.8_21861,0.408420410846019,0.7896900818697759,-12.4,1,1,54.0,17.0,13.0,131,126,0,5,no,False,24,False,24,78,falsepositive
NC_003074.8_22980,0.6984918238768758,0.0,-6.6,3,3,219.4,17.0,13.0,510,505,0,5,no,False,24,True,22,87,falsepositive
NC_003074.8_23916,0.6200151789617119,0.9999999997114608,-20.2,2,1,0.6,22.0,10.0,71,71,0,0,yes,False,24,True,24,56,falsepositive
NC_003074.8_24381,0.3214338555282516,0.8288713629639054,-17.4,2,7,17010.7,17.0,13.0,33388,33386,1,1,no,False,23,True,29,87,falsepositive
NC_003074.8_25718,0.6138098603646721,0.0,-8.2,2,1,14.1,17.0,13.0,39,38,0,1,yes,False,24,True,23,57,falsepositive
NC_003074.8_25777,0.2321396598777628,0.0,-11.8,0,4,279.0,17.0,13.0,564,562,0,2,no,False,24,True,22,60,Candidate
NC_003074.8_26376,0.0,0.9591479167387056,-44.8,2,2,2.1,13.0,12.0,18,16,2,0,yes,False,22,True,22,72,falsepositive
NC_003074.8_26997,0.415373500460768,0.0,-29.7,2,3,0.8,22.0,10.0,23,23,0,0,no,True,24,False,23,74,Confident
NC_003074.8_27416,0.4985638294562332,0.5307440235312089,-23.1,1,4,135705.8,17.0,13.0,266190,253529,12658,3,no,False,18,True,23,65,falsepositive
NC_003074.8_27505,0.4996400508842715,0.8902455409494615,-22.8,6,7,0.3,22.0,10.0,776,767,0,9,yes,False,24,False,21,54,falsepositive
NC_003074.8_27506,0.4996400508842715,0.8168493950729763,-14.9,5,2,1.5,28.0,11.0,813,767,0,46,yes,False,24,False,18,62,falsepositive
NC_003074.8_27589,0.62870877600591,0.9463946300841144,-20.2,2,2,1.3,28.0,11.0,69,69,0,0,yes,False,24,False,26,63,falsepositive
NC_003074.8_27896,0.4818992561336884,,-12.8,1,2,1.6,28.0,11.0,123,123,0,0,yes,True,23,False,24,61,Confident
NC_003074.8_28010,0.3527212426856193,,-23.7,2,2,2.1,13.0,12.0,62,61,1,0,yes,False,24,False,24,78,falsepositive
NC_003074.8_28033,0.62870877600591,0.0,-21.5,2,2,1.3,28.0,11.0,69,69,0,0,yes,False,24,False,26,63,falsepositive
NC_003074.8_28222,0.464465793126557,0.9591479167387056,-16.7,1,3,35.2,17.0,13.0,84,78,5,1,no,False,24,False,23,83,falsepositive
NC_003074.8_29473,0.3097844714312274,0.0,-1.0,1,3,168.9,17.0,13.0,430,428,0,2,no,False,24,True,24,61,falsepositive
NC_003074.8_29584,0.0,,-20.9,2,2,1.6,28.0,11.0,18,18,0,0,yes,False,21,False,21,52,falsepositive
NC_003075.7_31707,0.7565027109801837,0.9211854963000152,-10.6,0,1,39.3,17.0,13.0,100,96,3,1,no,False,24,False,22,73,falsepositive
NC_003075.7_32918,0.0716424869527548,0.0409629114135889,-23.9,3,1,1441.6,17.0,13.0,2829,1781,9,1039,yes,False,21,True,23,85,Candidate
NC_003075.7_32989,0.5894127169216465,0.9182958337659504,-27.4,2,1,0.3,22.0,10.0,133,128,5,0,yes,False,23,True,22,81,falsepositive
NC_003075.7_33019,0.7639237629885467,0.0,-25.1,2,1,0.5,22.0,10.0,106,106,0,0,yes,False,24,False,21,80,falsepositive
NC_003075.7_33023,0.7639237629885467,0.0,-25.1,2,1,0.5,22.0,10.0,106,106,0,0,yes,False,24,False,21,80,falsepositive
NC_003075.7_34471,0.3933107255458284,0.9182958337659504,-27.6,5,2,0.5,22.0,10.0,45,41,3,1,yes,False,24,False,24,88,falsepositive
NC_003075.7_35211,0.3283958018059917,0.999999999726928,-8.7,2,2,60.8,17.0,13.0,157,155,1,1,no,False,24,False,21,77,falsepositive
NC_003075.7_35230,0.381591641980872,0.9493419960952704,-12.8,2,2,77.3,17.0,13.0,160,151,0,9,yes,False,22,True,21,75,falsepositive
NC_003076.8_37545,0.1654270337077277,,-35.3,2,2,1.9,28.0,11.0,41,41,0,0,yes,False,21,True,21,80,falsepositive
NC_003076.8_38211,0.4313118370687678,0.912206632622321,-8.4,0,0,8.7,18.0,13.0,50,40,0,10,no,False,23,False,24,62,falsepositive
NC_003076.8_39153,0.3589962493734585,0.9999999997114608,-22.2,3,2,10.4,17.0,13.0,20,19,0,1,yes,False,24,False,20,68,falsepositive
NC_003076.8_39516,0.4332441222602546,0.9299660314367104,-13.9,4,6,15.9,17.0,13.0,58,48,0,10,no,False,24,True,24,86,falsepositive
NC_003076.8_40966,0.5927044424011686,0.8322488893116917,-15.7,3,4,29.3,17.0,13.0,60,55,0,5,yes,False,24,True,24,53,falsepositive
NC_003076.8_42973,0.2729485290599927,0.9999999997114608,-29.8,4,6,1.0,28.0,11.0,41,34,4,3,yes,False,24,False,20,87,falsepositive
NC_003076.8_42975,0.2729485290599927,0.9999999997114608,-29.8,4,6,1.0,28.0,11.0,41,34,4,3,yes,False,24,False,20,87,falsepositive
NC_003076.8_43763,0.5045643540570349,0.8857265017333288,-23.6,5,5,1.3,28.0,11.0,781,769,0,12,yes,False,24,False,24,53,falsepositive
NC_037304.1_46371,0.2662945122590447,0.928383211458919,-22.4,2,0,1.1,28.0,11.0,193,193,0,0,yes,False,25,True,24,67,falsepositive
NC_037304.1_46571,0.6483686869606089,0.9999999997114608,-20.6,1,3,55.5,17.0,13.0,118,117,0,1,no,False,21,True,24,46,falsepositive
