provisional_id,normalized_entropy,normalized_entropy_s,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
Scaffold1003_17822,0.0596455559241561,0.0599986986634595,-29.6,2,1,1.7,,,318924,234499,0,84425,yes,False,21,True,22,59,Confident
Scaffold1003_17823,0.2992605888187788,0.301100222171573,-27.6,1,2,82905.8,,,162614,160218,18,2378,yes,False,22,True,23,63,Confident
Scaffold1003_17825,0.0703328018129,0.053054405658384,-24.2,3,2,331201.9,,,649630,626170,0,23460,yes,True,23,True,22,62,Confident
Scaffold1003_17828,0.0766737457467172,0.0567329844907572,-22.0,0,1,39057.9,,,76603,37404,0,39199,yes,True,21,True,21,58,Confident
Scaffold1003_17829,0.372895096422928,0.434784199197499,-23.6,1,2,60831.3,,,119316,115591,0,3725,yes,False,21,True,22,59,Confident
Scaffold1003_17831,0.4132029006376159,0.1683702333011688,-23.8,1,4,57973.5,,,113712,108255,0,5457,yes,False,21,True,23,58,Confident
Scaffold1003_17861,0.0865042138328069,,-25.3,2,2,1.2,,,92,92,0,0,yes,False,20,True,21,59,Candidate
Scaffold10070_17913,0.6265663657856124,,-19.6,1,2,1.9,,,47,47,0,0,yes,False,22,False,23,52,falsepositive
Scaffold1008_17932,0.3005422901427078,0.7586510330795699,-32.5,1,1,1903.7,,,3731,3520,0,211,yes,False,22,True,22,68,falsepositive
Scaffold1034_18155,0.0,,-33.7,2,2,1.8,,,13,13,0,0,yes,False,22,True,22,63,Candidate
Scaffold1034_18167,0.0,0.0,-12.4,6,6,1.7,,,20,14,0,6,yes,False,22,False,22,58,falsepositive
Scaffold1034_18184,0.0,,-26.2,2,2,1.0,,,17,17,0,0,yes,False,22,True,22,62,Candidate
Scaffold1034_18203,0.0905438529811039,0.7725068854411883,-29.6,2,2,1.7,,,177,174,3,0,yes,False,21,True,20,65,Candidate
Scaffold1034_18262,0.0,,-34.8,2,2,1.9,,,13,13,0,0,yes,False,22,True,22,63,Candidate
Scaffold1040_18706,0.2430303061991627,0.0,-17.7,1,2,1249.9,,,2447,2446,0,1,yes,True,21,True,22,58,Confident
Scaffold1040_18710,0.0545683436045266,0.0819399270074687,-26.5,2,1,385290.2,,,755729,752017,59,3653,yes,False,23,True,21,67,Confident
Scaffold10598_18842,0.406250976566775,0.450952416933647,-42.1,2,2,620.6,,,1214,723,6,485,yes,False,23,True,22,78,falsepositive
Scaffold1063_18899,0.2978510954789679,0.9528195308262442,-26.1,0,1,0.7,,,117,115,0,2,yes,False,22,True,21,58,Candidate
Scaffold1063_18934,0.0,0.0,-25.4,1,1,50.8,,,99,92,0,7,yes,False,22,True,22,58,Candidate
Scaffold1063_18938,0.6169926818031166,0.8141473384766141,-17.4,2,2,36.0,,,69,51,2,16,yes,False,22,True,22,68,falsepositive
Scaffold1090_19335,0.4637291613202542,,-45.8,2,2,2.2,,,41,41,0,0,yes,False,18,True,18,49,Candidate
Scaffold1090_19472,0.4778026422159512,,-36.9,2,2,1.9,,,189,189,0,0,yes,False,18,True,18,49,Candidate
Scaffold109_102,0.044035112733848,0.078079941143041,-22.5,2,2,62631.8,,,122843,105406,0,17437,yes,True,22,True,22,59,Confident
Scaffold11099_19768,0.5560124202665088,0.0,-25.5,3,3,245.8,,,480,439,0,41,yes,False,22,False,22,61,Candidate
Scaffold1114_19818,0.1063664841146988,0.6862143226553961,-34.2,3,4,1061.6,,,2082,1972,0,110,yes,False,22,True,21,87,Candidate
Scaffold111_126,0.0,,-28.5,4,2,1.2,,,23,23,0,0,yes,False,21,False,22,63,Candidate
Scaffold111_134,0.673076983795062,,-14.9,2,2,1.3,,,31,31,0,0,yes,False,21,True,21,57,Candidate
Scaffold111_136,0.2386122106761402,,-16.2,2,2,0.6,,,625,625,0,0,yes,False,22,True,22,76,falsepositive
Scaffold111_181,0.0,,-23.3,2,2,1.8,,,12,12,0,0,yes,False,22,True,22,55,Candidate
Scaffold1129_19884,0.0,,-18.7,2,0,0.5,,,12,12,0,0,yes,False,18,False,20,50,Candidate
Scaffold1144_19985,0.0,,-24.5,2,3,1.3,,,37,37,0,0,yes,False,21,True,22,59,Candidate
Scaffold1144_19987,0.0,,-20.6,2,3,0.9,,,14,14,0,0,yes,False,21,True,22,59,Candidate
Scaffold1163_20205,0.0,0.0,-22.0,2,2,11.1,,,20,14,0,6,yes,False,22,True,22,48,Candidate
Scaffold11841_20283,0.2005733352288364,,-24.9,3,3,3.8,,,42,42,0,0,yes,True,20,True,20,77,Confident
Scaffold118_502,0.5294286045423372,0.8443536847305505,-17.4,1,2,72.7,,,145,132,0,13,yes,False,22,True,21,60,Candidate
