provisional_id,five_prime_process_signal_selected_row_count_sum_over_mature_count_sum,num_locis,Folding Energy,3' Overhang Bot,3' Overhang Top,Accepted Overhang?,miRDeep2_score,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
NC_049717.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_8_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_12130,0.962252376,889,-27.7,2,2,True,905292.5,1775686,1775465,2,219,no,True,23,True,22,60,Confident
NC_049717.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_8_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_12098,0.962252376,889,-27.7,2,2,True,905292.5,1775686,1775465,2,219,no,True,23,True,22,60,Confident
NC_049726.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_17_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_25892,0.990986125,532,-21.6,1,1,True,865585.9,1697806,1697586,0,220,no,True,22,True,22,60,Confident
NC_049727.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_18_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_26646,0.9946705108238648,496,-22.5,1,4,False,691404.7,1356155,1355477,0,678,no,True,24,False,21,62,Confident
NC_049718.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_9_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_13613,0.9414230708555604,359,-21.4,2,1,True,174507.6,342284,325967,0,16317,no,True,23,True,22,61,Confident
NC_049737.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_28_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_39766,0.9890859570475397,438,-18.6,2,2,True,156453.1,306871,306761,0,110,no,True,22,True,22,59,Confident
NC_049711.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_2_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_3132,0.9942861032298742,332,-24.3,2,3,True,143562.6,281587,279139,0,2448,no,True,23,True,22,59,Confident
NC_049726.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_17_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_25109,0.9908219066470484,237,-26.1,2,2,True,106368.0,208631,208247,0,384,no,True,22,True,22,57,Confident
NC_049726.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_17_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_25690,0.9908219066470484,237,-26.1,2,2,True,106367.9,208631,208247,0,384,no,True,22,True,22,57,Confident
NC_049721.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_12_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_17829,0.6905624332576696,1029,-30.1,1,2,True,104094.2,204178,180237,0,23941,no,False,24,False,21,57,Candidate
NC_049734.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_25_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_34133,0.9851881480942772,257,-16.1,2,2,True,84114.8,164982,164129,0,853,no,True,22,False,22,59,Confident
NC_049734.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_25_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_35754,0.9851881480942772,257,-16.1,2,2,True,84114.8,164982,164129,0,853,no,True,22,False,22,59,Confident
NC_049731.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_22_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_31271,0.8800803313668885,259,-26.5,2,3,True,60920.5,119487,119470,0,17,no,True,21,True,25,63,Confident
NC_049716.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_7_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_10682,0.99289135,330,-26.5,2,1,True,51914.7,101829,66786,0,35043,no,False,22,True,23,56,Confident
NC_049716.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_7_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_10638,0.99289135,330,-26.5,2,1,True,51914.7,101829,66786,0,35043,no,False,22,True,23,56,Confident
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_751,0.9782403986845728,198,-29.8,2,3,True,35159.5,68965,68865,0,100,no,False,22,True,23,62,Candidate
NC_049713.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_4_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_6922,0.9877582744996436,215,-25.2,2,2,True,31485.9,61753,61617,0,136,no,True,22,True,23,58,Confident
NC_049729.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_20_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_29447,0.9810040705563092,272,-23.4,-2,6,False,8772.0,17208,10298,1,6909,no,False,23,False,19,55,Candidate
NC_049727.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_18_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_26565,0.9782215418870024,114,-23.8,2,1,True,7328.5,14370,14303,0,67,no,True,22,True,23,62,Confident
NC_049711.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_2_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_4206,0.5794815626140928,262,-27.7,1,1,True,6977.3,13680,8084,0,5596,no,True,22,False,22,59,Confident
NC_049711.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_2_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_3121,0.5794815626140928,262,-27.7,1,1,True,6977.3,13680,8084,0,5596,no,True,22,False,22,59,Confident
NC_049723.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_14_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_20105,0.7285112981834293,161,-28.5,2,2,True,4608.5,9041,9025,0,16,no,False,22,False,22,55,Candidate
NC_049723.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_14_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_20285,0.7288079470198675,167,-28.5,2,2,True,4608.5,9041,9025,0,16,no,False,22,False,22,55,Candidate
NC_049732.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_23_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_32219,0.9944873208379272,114,-27.4,1,2,True,4204.7,8241,8157,0,84,no,True,23,False,21,55,Confident
NC_049732.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_23_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_32231,0.9944873208379272,104,-27.7,0,2,False,4165.4,8164,8157,0,7,no,True,23,False,20,54,Confident
NC_049722.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_13_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_18624,0.8323003364618381,222,-26.0,2,1,True,3790.0,7429,5645,0,1784,no,True,22,True,23,63,Confident
NC_049714.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_5_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_7254,0.9889727219965178,94,-22.7,2,2,True,3518.4,6903,6891,0,12,no,False,23,True,22,58,Candidate
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_1317,0.6154603643525357,105,-24.9,2,2,True,2470.6,4847,4061,0,786,no,False,22,False,22,56,Candidate
NC_049723.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_14_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_20395,0.9834931965201874,66,-23.5,2,2,True,2290.2,4488,4483,0,5,no,True,22,False,22,58,Confident
NC_049723.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_14_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_20409,0.9834931965201874,66,-23.5,2,2,True,2290.2,4488,4483,0,5,no,True,22,False,22,58,Confident
NC_049723.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_14_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_20419,0.9834931965201874,66,-23.5,2,2,True,2290.2,4488,4483,0,5,no,True,22,False,22,58,Confident
NC_049739.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_30_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_40628,0.829671686,90,-22.2,2,2,True,2067.5,4050,3377,0,673,no,True,22,True,24,60,Confident
NC_049721.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_12_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_17639,0.967967968,80,-17.0,1,5,False,2029.2,3975,3960,2,13,no,True,22,True,23,60,Confident
NC_049737.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_28_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_39723,0.9767938931297708,93,-27.9,2,2,True,1749.9,3427,3272,2,153,no,True,22,True,22,64,Confident
NC_049713.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_4_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_6126,0.7153614457831325,128,-20.1,-2,6,False,1691.2,3323,3320,0,3,no,False,24,False,21,61,falsepositive
NC_049739.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_30_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_40806,0.4626816380449141,101,-30.3,2,1,True,1533.7,3009,1409,0,1600,no,False,22,False,19,56,Candidate
NC_049737.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_28_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_39446,0.9963869931754316,61,-20.7,3,4,False,1285.9,2517,2490,0,27,no,True,24,False,23,60,Confident
NC_049737.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_28_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_39342,0.9963869931754316,61,-20.7,3,4,False,1285.9,2517,2490,0,27,no,True,24,False,23,60,Confident
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_2153,0.9748263888888888,72,-14.3,2,2,True,1183.1,2316,2303,0,13,no,True,22,True,22,59,Confident
NC_049725.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_16_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_24126,0.9581151832460733,84,-28.4,2,2,True,1127.3,2212,1093,0,1119,no,False,22,True,22,55,Candidate
NC_049713.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_4_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_5689,0.978076731,56,-27.3,1,3,True,1024.8,2004,1974,0,30,no,True,21,False,23,55,Confident
NC_049713.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_4_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_6752,0.978076731,56,-27.3,1,3,True,1024.8,2004,1974,0,30,no,True,21,False,23,55,Confident
NC_049735.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_26_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_36861,0.8383594692400482,200,-13.7,1,4,False,1001.8,1987,1638,0,349,no,False,25,False,22,73,Candidate
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_2155,0.9716312056737588,56,-15.4,3,2,True,939.1,1837,1833,0,4,no,True,22,False,23,60,Confident
