provisional_id,normalized_entropy,normalized_entropy_s,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
NC_004353.4_42900,0.0436213445728397,0.6755016380862101,-24.8,0,0,3130.0,53.0,6.0,6140,5283,0,857,yes,False,21,True,21,57,Candidate
NC_004353.4_43142,0.5626845134066074,0.5961254298287819,-14.3,1,2,35.4,53.0,6.0,91,77,0,14,no,False,24,True,24,74,falsepositive
NC_004353.4_43170,0.3801191260426891,0.6763598997813979,-14.9,5,10,422.1,53.0,6.0,843,738,92,13,no,False,24,True,21,74,falsepositive
NC_004353.4_43236,0.5626845134066074,0.5961254298287819,-14.3,1,2,35.9,53.0,6.0,91,77,0,14,no,False,24,True,24,74,falsepositive
NC_004353.4_43378,0.5000018660541219,0.9848586613779388,-28.0,1,2,1.2,60.0,5.0,61,56,1,4,yes,False,20,True,21,68,falsepositive
NC_004353.4_43424,0.4581921188475341,0.5984706368530393,-2.3,2,3,6640.2,53.0,6.0,13173,12877,1,295,no,False,21,False,20,59,Candidate
NC_004353.4_43516,0.4884931360408726,0.54629470200743,-15.1,2,1,5.4,54.0,6.0,28,18,0,10,no,False,25,True,24,56,falsepositive
NC_004354.4_1126,0.0722237295626052,0.6986638738414409,-15.0,3,4,0.3,53.0,5.0,11927,11715,0,212,yes,False,22,True,21,49,Candidate
NC_004354.4_1128,0.0728577362901748,0.6986638738414409,-15.0,3,4,0.5,53.0,5.0,11927,11715,0,212,yes,False,22,True,21,49,Candidate
NC_004354.4_1137,0.4134770623685155,0.0981576116297634,-20.9,4,3,1.6,60.0,5.0,471,316,0,155,yes,False,23,True,22,60,falsepositive
NC_004354.4_4153,0.097938122643909,0.7173356946587496,-15.5,0,4,1.2,60.0,5.0,836,835,0,1,yes,False,23,True,24,68,falsepositive
NC_004354.4_453,0.2300984089206637,0.7577908113670765,-24.7,2,2,149.3,53.0,6.0,300,281,0,19,no,False,21,True,24,60,Candidate
NC_004354.4_474,0.1114363630122306,0.4154503671029592,-15.0,2,0,175.6,53.0,6.0,345,215,0,130,yes,False,22,True,23,57,Candidate
