provisional_id,normalized_entropy,normalized_entropy_s,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
chr10_2330,0.0,,-23.3,2,2,1.2,59.0,2.0,37,37,0,0,yes,False,24,True,20,62,Candidate
chr10_2351,0.0,,-32.4,2,1,1.4,59.0,2.0,20,20,0,0,yes,False,24,True,24,58,Candidate
chr10_2355,0.0,,-35.9,2,2,2.2,26.0,5.0,31,31,0,0,yes,False,20,False,20,51,falsepositive
chr10_2360,0.0,,-53.2,2,3,2.3,26.0,5.0,32,32,0,0,yes,False,22,True,21,87,falsepositive
chr10_2408,0.0,,-25.4,2,2,0.4,0.0,0.0,23,23,0,0,yes,False,23,False,23,73,falsepositive
chr10_2431,0.0,,-24.4,2,2,1.6,59.0,2.0,37,37,0,0,yes,False,24,True,27,68,Candidate
chr10_2432,0.0,,-31.1,2,4,1.5,59.0,2.0,37,37,0,0,yes,False,24,True,20,62,Candidate
chr10_2511,0.0,,-26.0,0,2,0.9,0.0,0.0,20,20,0,0,yes,False,22,True,24,55,Candidate
chr10_2539,0.0,,-34.8,1,3,1.8,59.0,2.0,15,15,0,0,yes,False,22,True,24,84,falsepositive
chr10_2600,0.0,,-46.4,2,2,2.8,26.0,5.0,33,33,0,0,yes,False,21,False,21,59,Candidate
chr10_2630,0.0,,-25.5,2,2,5.5,80.0,8.0,27,27,0,0,yes,True,22,False,21,61,Confident
chr10_2679,0.0,,-26.5,2,1,1.3,59.0,2.0,39,39,0,0,yes,False,24,True,22,60,Candidate
chr10_2711,0.0,,-36.6,2,2,2.2,26.0,5.0,29,29,0,0,yes,False,21,False,21,70,Candidate
chr10_2808,0.0,,-35.9,2,2,2.3,26.0,5.0,31,31,0,0,yes,False,20,False,20,51,falsepositive
chr10_2886,0.0,,-21.3,2,2,1.6,59.0,2.0,16,16,0,0,yes,False,23,True,26,69,falsepositive
chr10_2893,0.0,,-32.9,2,2,1.4,59.0,2.0,19,19,0,0,yes,False,22,True,22,58,Candidate
chr10_2926,0.0,,-19.4,4,1,0.1,0.0,0.0,96,96,0,0,yes,False,18,False,15,56,falsepositive
chr10_2938,0.0,,-24.4,6,10,2.4,26.0,5.0,29,29,0,0,yes,False,19,False,23,65,falsepositive
chr10_3021,0.0,,-43.4,2,2,2.7,26.0,5.0,33,33,0,0,yes,False,21,False,21,59,Candidate
chr10_3048,0.0,,-24.3,2,2,1.1,59.0,2.0,26,26,0,0,yes,False,22,True,22,58,Candidate
chr10_3072,0.0,,-30.8,2,1,1.6,59.0,2.0,22,22,0,0,yes,False,23,True,22,67,falsepositive
chr10_3107,0.0,,-17.8,2,2,1.5,59.0,2.0,14,14,0,0,yes,False,20,True,18,41,falsepositive
chr10_3121,0.0,,-21.6,2,3,5.1,80.0,8.0,858,858,0,0,yes,True,20,False,17,61,Confident
chr11_3174,0.0,,-40.6,2,1,2.2,26.0,5.0,40,40,0,0,yes,False,18,False,16,78,falsepositive
