provisional_id,five_prime_process_signal_selected_row_count_sum_over_mature_count_sum,num_locis,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
GWHACBE00000008_Chromosome_8_Complete=T_Circular=F_OriSeqID=Chr08_Len=78931488_30500,0.9864601307085478,617,-26.1,1,2,5251028.8,87.0,2.0,10299669,10217063,9,82597,no,False,21,True,22,62,Confident
GWHACBE00000008_Chromosome_8_Complete=T_Circular=F_OriSeqID=Chr08_Len=78931488_31120,0.9967385644435124,424,-21.6,2,2,4196377.5,87.0,2.0,8231017,8229946,0,1071,no,False,22,True,22,61,Confident
GWHACBE00000008_Chromosome_8_Complete=T_Circular=F_OriSeqID=Chr08_Len=78931488_30816,0.9840979212677078,644,-21.0,2,0,4052416.5,87.0,2.0,7948643,7873677,0,74966,no,False,23,True,22,59,Confident
GWHACBE00000011_Chromosome_11_Complete=T_Circular=F_OriSeqID=Chr11_Len=55753002_39652,0.995839957508997,348,-23.1,2,2,3812591.2,87.0,2.0,7478235,7453622,0,24613,no,False,22,False,25,60,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_339,0.9757363571861158,521,-19.3,2,0,2747606.1,87.0,2.0,5389313,5381170,0,8143,no,False,23,True,22,60,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_16147,0.9966145500458172,535,-23.2,2,3,1891783.9,87.0,2.0,3710655,3708149,0,2506,no,False,23,False,22,62,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_16123,0.9980377482323828,545,-25.3,2,3,1829409.3,87.0,2.0,3588310,3583443,3,4864,no,False,23,True,22,63,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_12944,0.9965533409058622,486,-24.4,2,2,1673705.8,87.0,2.0,3282904,3280207,0,2697,no,False,23,True,22,61,Confident
GWHACBE00000004_Chromosome_4_Complete=T_Circular=F_OriSeqID=Chr04_Len=123808561_17140,0.9965087352641824,460,-26.3,1,2,1651853.1,87.0,2.0,3240041,3238368,0,1673,no,False,23,True,21,62,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13743,0.9937222261409324,386,-20.5,2,2,1640470.8,87.0,2.0,3217716,3214235,0,3481,no,False,22,True,22,59,Confident
GWHACBE00000008_Chromosome_8_Complete=T_Circular=F_OriSeqID=Chr08_Len=78931488_30824,0.9896683763752911,368,-20.0,1,4,1180785.3,87.0,2.0,2316062,2309039,17,7006,no,False,21,True,27,64,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_15964,0.9968973556017836,241,-25.6,3,2,1076604.1,87.0,2.0,2111714,2108678,0,3036,no,False,23,False,22,60,Confident
GWHACBE00000010_Chromosome_10_Complete=T_Circular=F_OriSeqID=Chr10_Len=73678751_37708,0.9748109978647262,396,-19.3,2,2,888617.3,87.0,2.0,1742986,1740900,0,2086,no,False,21,True,21,62,Confident
GWHACBE00000006_Chromosome_6_Complete=T_Circular=F_OriSeqID=Chr06_Len=88474218_25223,0.9805436629413596,348,-21.7,3,1,842125.4,87.0,2.0,1651795,1647381,293,4121,no,False,21,True,23,66,Confident
GWHACBE00000007_Chromosome_7_Complete=T_Circular=F_OriSeqID=Chr07_Len=86638540_27558,0.99600976755202,317,-27.3,2,1,805064.7,87.0,2.0,1579101,1576174,413,2514,no,False,23,True,22,63,Confident
GWHACBE00000009_Chromosome_9_Complete=T_Circular=F_OriSeqID=Chr09_Len=74019141_33892,0.9773372230590026,439,-16.8,2,4,784822.4,87.0,2.0,1539400,1534974,0,4426,no,False,23,True,21,61,Confident
GWHACBE00000011_Chromosome_11_Complete=T_Circular=F_OriSeqID=Chr11_Len=55753002_40053,0.9835102393651042,473,-24.0,2,1,760653.9,87.0,2.0,1491992,1485316,0,6676,no,False,22,True,22,61,Confident
GWHACBE00000008_Chromosome_8_Complete=T_Circular=F_OriSeqID=Chr08_Len=78931488_30571,0.998354529849748,225,-26.6,2,2,733879.9,87.0,2.0,1439475,1435441,26,4008,no,False,23,True,22,64,Confident
GWHACBE00000002_Chromosome_2_Complete=T_Circular=F_OriSeqID=Chr02_Len=139115577_12207,0.9976020961024008,303,-22.1,2,2,726823.5,87.0,2.0,1425635,1417485,0,8150,no,False,22,True,22,59,Confident
GWHACBE00000006_Chromosome_6_Complete=T_Circular=F_OriSeqID=Chr06_Len=88474218_23848,0.997561015841026,202,-25.5,2,2,680465.0,87.0,2.0,1334705,1333751,0,954,no,False,22,True,22,58,Confident
GWHACBE00000004_Chromosome_4_Complete=T_Circular=F_OriSeqID=Chr04_Len=123808561_17124,0.9975520020398726,190,-23.7,1,2,676055.1,87.0,2.0,1326055,1325556,36,463,no,False,22,True,21,64,Confident
GWHACBE00000010_Chromosome_10_Complete=T_Circular=F_OriSeqID=Chr10_Len=73678751_37463,0.9967467632939684,261,-24.4,2,1,617146.7,87.0,2.0,1210508,1209862,169,477,no,False,21,True,22,71,Confident
GWHACBE00000004_Chromosome_4_Complete=T_Circular=F_OriSeqID=Chr04_Len=123808561_18018,0.9801484489246434,238,-27.7,2,1,563257.7,87.0,2.0,1104807,1102321,3,2483,no,False,22,True,22,61,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4907,0.9978201863833462,188,-22.7,2,2,521849.3,87.0,2.0,1023586,1023449,0,137,no,False,22,True,22,61,Confident
GWHACBE00001589_OriSeqID=ctg4221_Len=39987_44339,0.9629719583573212,397,-22.8,1,2,510081.9,87.0,2.0,1000504,991324,308,8872,yes,False,22,True,23,67,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13331,0.9731631084265994,283,-25.0,1,2,502717.1,87.0,2.0,986059,983876,0,2183,no,False,22,True,23,64,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_12982,0.9972727691335234,361,-22.4,2,3,487162.2,87.0,2.0,955550,955519,0,31,no,False,23,False,22,60,Confident
