provisional_id,five_prime_process_signal_selected_row_count_sum_over_mature_count_sum,num_locis,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
NT_037436.4_31997,0.5564290851744015,1512,-13.3,6,2,499387.4,53,6,979534,979376,135,23,no,False,18,True,18,51,falsepositive
NT_033778.4_23991,0.9681678667258652,1732,-16.5,1,4,87332.7,53,6,171307,154645,0,16662,no,False,24,False,18,48,falsepositive
NW_001844949.1_8983,0.6442491872418944,522,-12.1,6,1,28209.3,53,6,55343,55332,0,11,no,False,19,False,21,46,falsepositive
NW_001844958.1_8135,0.6496376233763932,505,-12.1,6,1,28197.2,53,6,55318,55307,0,11,no,False,19,False,21,46,falsepositive
NC_004354.4_7887,0.6496376233763932,505,-12.1,6,1,28197.2,53,6,55318,55307,0,11,no,False,19,False,21,46,falsepositive
NC_004353.4_43424,0.390465294,440,-2.3,2,3,6640.2,53,6,13173,12877,1,295,no,False,21,False,20,59,Candidate
NT_033777.3_37703,0.9185373285931944,107,-20.9,1,2,5017.5,53,6,9841,9777,0,64,yes,False,21,True,22,70,Candidate
NW_001845374.1_8244,0.8144818976279651,253,-16.4,1,1,3811.8,53,6,7486,7463,0,23,no,False,24,True,24,60,Candidate
NC_004353.4_42900,0.9827879704936636,135,-24.8,0,0,3130.0,53,6,6140,5283,0,857,yes,False,21,True,21,57,Candidate
NT_033777.3_40848,0.4194905869324474,370,-26.0,1,7,2385.7,53,6,4687,4239,342,106,no,False,22,True,21,86,falsepositive
NC_004354.4_5500,0.9388062917474682,159,-18.3,0,1,2327.6,53,6,4582,4575,0,7,no,False,21,False,27,86,falsepositive
NT_037436.4_26101,0.7373074008588028,72,-4.8,2,6,1906.6,53,6,3806,3805,0,1,no,False,20,False,23,45,falsepositive
NT_033778.4_23543,0.987434555,68,-31.7,1,2,1500.1,53,6,2940,2865,0,75,yes,False,22,True,21,63,Candidate
NT_033777.3_36542,0.9272922636103152,174,-20.2,2,0,1382.6,53,6,2719,2710,0,9,no,False,25,True,22,54,falsepositive
NT_033777.3_34221,0.8997678018575851,136,-13.6,6,1,1310.4,53,6,2577,2566,0,11,no,False,24,False,26,55,falsepositive
NT_033779.5_10950,0.9616724738675958,111,-10.1,2,2,1014.7,53,6,2011,1978,32,1,no,False,18,True,18,61,falsepositive
NT_033779.5_10948,0.9616724738675958,111,-10.1,2,2,1008.4,53,6,2011,1978,32,1,no,False,18,True,18,61,falsepositive
NT_033777.3_41812,0.6745796241345203,148,-21.7,2,1,998.7,53,6,1965,1717,0,248,yes,False,22,True,21,54,Candidate
NT_033778.4_19510,0.9597961494903736,66,-12.4,2,2,884.0,53,6,1738,1737,0,1,no,True,24,True,20,47,Confident
NT_037436.4_33761,0.9427288040426728,75,-7.9,5,0,882.3,53,6,1746,1742,0,4,no,False,22,True,24,53,falsepositive
NT_037436.4_33785,0.9427288040426728,75,-7.9,5,0,882.3,53,6,1746,1742,0,4,no,False,22,True,24,53,falsepositive
NT_033777.3_40034,0.7893284268629255,265,-35.1,2,1,864.8,53,6,1703,1074,536,93,no,False,22,True,23,104,falsepositive
NT_033777.3_38255,0.710739342,184,-20.5,2,3,862.5,53,6,1701,1378,120,203,no,False,25,True,24,91,falsepositive
NT_037436.4_28037,0.9593446601941747,115,-9.6,3,1,846.7,53,6,1681,1646,0,35,no,False,24,True,24,60,Candidate
NW_001846599.1_8679,0.7973651191969887,99,-16.0,2,4,770.6,53,6,1519,1517,0,2,no,False,25,True,24,55,Candidate
NT_037436.4_26197,0.8543563068920677,213,-8.0,2,3,768.2,53,6,1508,1442,0,66,yes,False,25,True,25,55,falsepositive
NT_033778.4_24172,0.597725657,68,-14.3,1,1,711.0,53,6,1406,1316,0,90,yes,False,21,True,22,57,Candidate
NT_033778.4_15375,0.9098067287043664,102,-12.9,2,3,649.7,53,6,1302,1298,1,3,no,False,24,True,24,89,falsepositive
NT_033779.5_11510,0.9338709677419356,112,-26.7,4,2,608.4,53,6,1202,1187,13,2,no,False,22,True,25,90,falsepositive
NT_033779.5_12315,0.9936708860759492,68,-35.7,2,2,494.3,53,6,967,474,34,459,yes,False,22,True,22,63,Candidate
NT_033779.5_12304,0.4277227722772277,99,-21.3,3,4,487.8,53,6,965,929,1,35,no,False,21,True,22,55,falsepositive
NT_033778.4_21913,0.8961303462321792,86,-19.1,3,3,468.7,53,6,927,925,0,2,no,False,25,False,24,58,Candidate
NT_037436.4_29763,0.9618593563766388,70,-18.7,2,6,453.1,53,6,880,837,0,43,yes,True,23,True,19,59,Confident
NT_037436.4_30696,0.6226415094339622,158,-19.6,1,5,450.6,53,6,895,463,406,26,no,False,25,True,24,90,falsepositive
NT_033778.4_19370,0.2777777777777778,122,-14.9,5,10,422.1,53,6,843,738,92,13,no,False,24,True,21,74,falsepositive
NC_004353.4_43170,0.2777777777777778,122,-14.9,5,10,422.1,53,6,843,738,92,13,no,False,24,True,21,74,falsepositive
NC_004354.4_5299,0.2777777777777778,121,-14.9,5,10,422.1,53,6,843,738,92,13,no,False,24,True,21,74,falsepositive
NT_033777.3_41580,0.933486239,23,-13.4,3,0,412.3,53,6,822,821,0,1,no,False,22,True,19,84,falsepositive
NT_037436.4_26202,0.9877049180327868,54,-22.7,1,2,394.7,53,6,776,723,0,53,yes,False,21,True,20,67,falsepositive
NT_037436.4_27623,0.8911222780569514,54,-5.4,5,10,284.8,53,6,586,578,1,7,no,False,24,True,25,67,falsepositive
NT_037436.4_27043,0.9632224168126094,25,-14.2,3,6,283.2,53,6,555,553,0,2,yes,False,24,True,27,51,falsepositive
NT_033777.3_40729,0.9746588693957114,58,-10.1,0,2,255.2,53,6,510,505,0,5,no,False,22,False,23,56,falsepositive
NT_033777.3_40761,0.9746588693957114,58,-10.1,0,2,255.2,53,6,510,505,0,5,no,False,22,False,23,56,falsepositive
NT_033777.3_40745,0.9746588693957114,53,-10.1,0,2,255.1,53,6,510,505,0,5,no,False,22,False,23,56,falsepositive
NT_037436.4_30176,0.4793233082706767,59,-22.9,1,1,252.2,53,6,494,456,0,38,yes,False,21,True,23,45,falsepositive
NT_033778.4_19719,0.8987603305785123,36,-17.6,4,3,236.2,53,6,475,474,0,1,no,False,22,True,22,66,falsepositive
NT_033777.3_41899,0.9444444444444444,27,-13.6,0,1,230.6,53,6,454,449,0,5,yes,False,21,True,20,59,Candidate
NT_033778.4_23880,0.7207792207792207,34,-20.5,1,1,228.0,53,6,457,389,0,68,no,False,22,True,23,59,Candidate
NC_004354.4_5917,0.9537037037037036,53,-20.0,2,1,216.7,53,6,423,417,0,6,yes,False,21,True,22,49,Candidate
NC_004354.4_5459,0.5690021231422505,92,-29.2,2,2,216.5,53,6,425,286,51,88,yes,False,25,False,25,94,falsepositive
NT_033778.4_20527,0.5690021231422505,92,-29.2,2,2,216.5,53,6,425,286,51,88,yes,False,25,False,25,94,falsepositive
NT_037436.4_24722,0.5690021231422505,92,-29.2,2,2,212.7,53,6,425,286,51,88,no,False,25,False,25,94,falsepositive
NT_033778.4_24067,0.5690021231422505,92,-29.2,2,2,212.7,53,6,425,286,51,88,no,False,25,False,25,94,falsepositive
NC_004354.4_546,0.5690021231422505,92,-29.2,2,2,212.7,53,6,425,286,51,88,no,False,25,False,25,94,falsepositive
NT_033779.5_14247,0.7092198581560284,81,-19.9,2,4,193.4,53,6,389,336,20,33,no,False,22,True,24,91,falsepositive
NT_037436.4_29464,0.4609375,38,-25.8,1,1,192.9,53,6,377,366,0,11,yes,False,23,True,21,61,falsepositive
NT_033777.3_37684,0.7938931297709924,68,-23.0,2,2,192.5,53,6,386,367,1,18,no,False,21,False,23,56,falsepositive
NT_033777.3_42236,0.910941476,39,-19.8,3,4,185.7,53,6,372,367,1,4,no,False,21,True,22,58,Candidate
NT_033779.5_12169,0.9378698224852072,37,-13.5,1,2,179.4,53,6,351,333,0,18,yes,False,22,True,21,60,Candidate
NT_033778.4_14778,0.8938992042440318,42,-13.9,1,3,175.6,53,6,360,359,0,1,no,False,24,True,20,57,Candidate
NT_033779.5_13781,0.8938992042440318,42,-13.9,1,3,175.6,53,6,360,359,0,1,no,False,24,True,20,57,Candidate
NC_004354.4_474,0.9545454545454546,34,-15.0,2,0,175.6,53,6,345,215,0,130,yes,False,22,True,23,57,Candidate
