provisional_id,normalized_entropy,normalized_entropy_s,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_1094,0.0472119566087554,,-23.1,2,2,3.7,89.0,4.0,3153,3153,0,0,no,True,23,True,22,62,Confident
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_1096,0.5916727782937884,0.0,-18.7,1,2,8.2,90.0,3.0,19,14,0,5,no,False,24,True,21,61,falsepositive
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_1105,0.0,0.954434002636426,-28.4,1,2,118.1,90.0,3.0,235,227,0,8,no,False,23,False,24,59,Candidate
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_1317,0.4812645971752016,0.2012503289862835,-24.9,2,2,2470.6,90.0,3.0,4847,4061,0,786,no,False,22,False,22,56,Candidate
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_2126,0.9159775043063147,0.0,-18.5,3,2,45.1,90.0,3.0,91,87,0,4,no,False,22,True,22,56,Candidate
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_2127,0.3287232095348328,0.0,-21.4,1,1,69.1,90.0,3.0,130,129,0,1,no,True,22,True,22,61,Confident
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_2129,0.2307890395163318,,-27.7,2,2,0.1,73.0,4.0,53,53,0,0,no,False,23,False,23,60,Candidate
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_2132,0.4394969866329743,0.7219280945988233,-18.2,2,2,12.3,90.0,3.0,26,22,0,4,no,False,22,False,22,58,Candidate
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_2135,0.0,0.0,-24.8,0,0,77.7,90.0,3.0,154,111,0,43,no,False,21,True,21,59,Candidate
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_2137,0.0,0.0,-22.3,2,1,56.0,90.0,3.0,112,111,0,1,no,False,21,True,23,61,Candidate
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_2139,0.0,0.0,-22.2,1,1,57.5,90.0,3.0,115,111,0,4,no,False,21,True,23,61,Candidate
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_2142,0.0,0.0,-18.0,2,2,9.9,90.0,3.0,22,19,0,3,no,False,22,False,22,59,Candidate
