provisional_id,normalized_entropy,normalized_entropy_s,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
QFTL02000001.1_378,0.2892641703215668,0.1842581387337978,-23.4,2,1,77036.1,92.0,3.0,151102,127291,0,23811,yes,False,22,True,23,58,Confident
QFTL02000001.1_453,0.6100522307662603,,-43.2,3,2,1.9,91.0,2.0,51,51,0,0,yes,False,22,False,21,53,falsepositive
QFTL02000001.1_671,0.2200282860407666,0.0,-14.1,6,5,5.1,92.0,3.0,117,116,0,1,yes,True,18,True,18,51,Confident
QFTL02000001.1_677,0.0,,-17.9,2,2,1.5,91.0,2.0,14,14,0,0,yes,False,22,True,23,53,Candidate
QFTL02000001.1_773,0.4195261823362241,,-18.5,2,2,0.7,84.0,3.0,40,40,0,0,yes,False,22,True,22,60,Candidate
QFTL02000001.1_783,0.7827759525410704,0.9182958337659504,-28.8,2,1,0.2,84.0,3.0,14,10,4,0,yes,False,19,False,19,85,falsepositive
QFTL02000001.1_814,0.0162386453972126,0.5032583344871068,-26.5,2,2,4076.0,92.0,3.0,7994,7967,0,27,yes,False,23,True,23,64,Candidate
QFTL02000002.1_9764,0.0098514900727355,0.3742178812352265,-23.7,2,2,94518.3,92.0,3.0,185393,167381,0,18012,yes,False,23,True,23,60,Confident
QFTL02000002.1_9776,0.4179101029519599,0.4794454405827498,-33.9,4,2,1.9,91.0,2.0,354,236,0,118,yes,False,22,False,20,55,Candidate
QFTL02000003.1_14182,0.2667649875144869,0.0,-19.3,4,2,12.9,92.0,3.0,26,22,0,4,yes,False,20,True,22,61,Candidate
QFTL02000003.1_14241,0.97944854605427,,-17.7,2,1,0.7,84.0,3.0,30,30,0,0,yes,False,22,True,22,54,falsepositive
QFTL02000003.1_14369,0.0131138180051063,0.1178178017716881,-26.2,1,2,8107.4,92.0,3.0,15902,9404,0,6498,yes,False,21,True,23,56,Confident
QFTL02000003.1_14435,0.0125697581178565,0.3210201232814423,-23.1,2,2,29891.6,92.0,3.0,58629,58321,0,308,yes,False,22,True,24,56,Confident
QFTL02000003.1_14437,0.0063890149377986,,-27.5,2,2,2.0,90.0,3.0,75219,75219,0,0,yes,False,22,True,22,61,Candidate
QFTL02000003.1_14735,0.0572740659128334,0.6583346264749521,-23.9,2,2,0.7,84.0,3.0,791,791,0,0,yes,False,24,False,25,65,Candidate
QFTL02000004.1_17734,0.2307099554029373,,-20.2,2,2,1.4,91.0,2.0,80,80,0,0,yes,False,20,True,18,81,falsepositive
QFTL02000004.1_17851,0.1877704683992847,0.7501379724542723,-19.3,2,2,222.6,92.0,3.0,436,396,0,40,yes,False,22,True,22,51,Candidate
QFTL02000004.1_17907,0.3262588143409536,0.7219280945988233,-35.2,2,2,1.8,91.0,2.0,72,67,0,5,yes,False,22,True,22,62,Candidate
QFTL02000004.1_18032,0.0313747740237846,0.0,-21.1,1,2,516.0,92.0,3.0,1020,980,0,40,no,False,21,True,24,57,Candidate
QFTL02000005.1_21172,0.0320329928794372,0.7407262760172617,-25.8,5,5,1.8,91.0,2.0,432684,432668,0,16,yes,False,23,False,22,63,Candidate
QFTL02000005.1_21259,0.1745408709186995,0.98855643537673,-18.4,2,3,298.6,92.0,3.0,586,318,0,268,yes,False,22,True,23,61,falsepositive
QFTL02000005.1_21430,0.0,0.0,-18.4,0,2,0.6,84.0,3.0,24,22,0,2,yes,False,22,True,24,57,Candidate
QFTL02000005.1_21605,0.8696440327173165,0.0,-37.0,2,2,2.3,90.0,3.0,30,29,1,0,yes,False,20,False,20,60,falsepositive
QFTL02000006.1_23890,0.8762441665165339,,-25.2,2,2,1.0,91.0,2.0,98,98,0,0,yes,False,23,True,25,64,falsepositive
QFTL02000006.1_23938,0.0,,-16.5,2,5,0.4,84.0,3.0,26,26,0,0,yes,False,22,False,25,64,Candidate
QFTL02000007.1_25443,0.012934755284856,0.0154697059974024,-19.4,2,2,11042.0,92.0,3.0,21658,10655,0,11003,yes,False,22,True,22,58,Confident
QFTL02000007.1_25445,0.2456519314571462,0.3984150921424904,-28.0,2,3,829.7,92.0,3.0,1626,1132,0,494,yes,False,22,True,23,57,Candidate
QFTL02000007.1_25493,0.8142250535648355,0.0,-16.0,2,1,0.9,84.0,3.0,20,20,0,0,yes,False,20,True,22,63,falsepositive
QFTL02000007.1_25533,0.2043152989734943,0.0,-32.5,2,2,42.7,92.0,3.0,82,80,0,2,yes,False,20,True,20,67,Candidate
QFTL02000007.1_25705,0.0104330395689437,0.0,-29.9,2,2,10616.5,92.0,3.0,20822,20800,0,22,yes,False,23,True,22,59,Candidate
QFTL02000007.1_25710,0.0491263062162248,0.886859506869843,-21.5,2,1,1.6,91.0,2.0,74725,74725,0,0,yes,False,20,True,18,53,Confident
QFTL02000007.1_25860,0.4689955933007422,,-32.1,2,2,0.0,84.0,3.0,9,9,0,0,yes,False,21,True,21,52,falsepositive
QFTL02000007.1_25888,0.5435683675656812,0.6223659726013776,-22.7,2,4,1768.3,92.0,3.0,3467,3463,0,4,yes,False,21,False,23,60,falsepositive
QFTL02000008.1_32970,0.3033748357978749,,-28.5,2,2,1.6,91.0,2.0,37,37,0,0,yes,False,21,False,21,57,Candidate
QFTL02000008.1_34486,0.4750633581820475,0.610887003229675,-41.9,2,3,83.6,92.0,3.0,162,116,0,46,yes,False,20,False,21,52,falsepositive
QFTL02000008.1_36684,0.0,0.0,-20.2,1,2,13.4,92.0,3.0,26,22,0,4,yes,False,22,True,23,56,Candidate
QFTL02000008.1_37991,0.0132618300892028,0.8024052433974496,-21.4,2,2,12733.8,92.0,3.0,24975,24879,0,96,yes,False,23,False,22,61,Candidate
QFTL02000008.1_38008,0.8889924518413354,0.7896900818697759,-18.4,4,1,0.0,84.0,3.0,21,17,0,4,yes,False,20,True,18,56,falsepositive
QFTL02000008.1_38010,0.8889924518413354,0.7219280945988233,-18.6,4,1,0.0,84.0,3.0,21,17,0,4,yes,False,20,True,18,57,falsepositive
QFTL02000009.1_39298,0.1088660195235043,0.912206632622321,-15.0,3,0,1.8,91.0,2.0,178,175,0,3,yes,False,18,True,20,56,falsepositive
QFTL02000009.1_39309,0.2863969568274171,0.0,-30.2,4,1,1.2,91.0,2.0,20,19,0,1,yes,False,22,True,19,53,Candidate
QFTL02000009.1_39327,0.3128997742805931,0.3160396345885796,-41.6,2,2,1476.1,92.0,3.0,2893,2513,3,377,yes,False,21,False,21,63,falsepositive
QFTL02000009.1_39332,0.016513289587419,0.0693918899704704,-24.7,1,2,8337.4,92.0,3.0,16352,15001,0,1351,yes,False,23,False,22,59,Confident
QFTL02000009.1_39390,0.3689406231077859,0.7495952569709409,-23.8,2,2,218.3,92.0,3.0,426,412,0,14,yes,False,22,False,22,62,Candidate
QFTL02000009.1_39546,0.0,0.0521744679856033,-29.7,2,2,375.7,92.0,3.0,735,398,0,337,yes,False,20,False,20,79,falsepositive
QFTL02000010.1_936,0.0,0.0,-39.0,1,2,9.3,92.0,3.0,15,14,0,1,yes,False,22,False,21,53,Candidate
QFTL02000010.1_991,0.0045633510986117,0.2903901063630703,-25.6,1,2,12780.6,92.0,3.0,25067,25020,0,47,yes,False,22,True,23,56,Candidate
QFTL02000010.1_993,0.3201933264110412,0.0272010943360247,-28.4,2,2,1650.5,92.0,3.0,3235,2051,0,1184,yes,False,23,False,24,60,Candidate
QFTL02000011.1_2141,0.1141702741796221,0.4666031363791998,-27.6,2,2,2.0,90.0,3.0,10319,10273,36,10,yes,False,23,True,23,68,Candidate
QFTL02000011.1_2287,0.7062740888990617,0.0,-19.9,2,2,13.6,92.0,3.0,27,26,0,1,yes,False,24,True,26,66,Candidate
QFTL02000011.1_2437,0.0988973903945316,0.4005850865948306,-18.4,4,2,5596.7,92.0,3.0,10976,10945,0,31,yes,False,22,False,20,55,Candidate
QFTL02000011.1_2439,0.0974096076611002,0.1051565491465014,-15.3,3,2,4373.3,92.0,3.0,8588,7749,0,839,no,False,22,False,21,54,Candidate
QFTL02000011.1_2441,0.3746474504649955,0.0,-20.8,3,2,2092.3,92.0,3.0,4105,3991,0,114,yes,False,22,False,21,54,Candidate
QFTL02000011.1_2444,0.3881122571934534,0.3196784759348441,-15.2,3,2,575.8,92.0,3.0,1130,618,0,512,yes,False,21,False,22,55,Candidate
QFTL02000011.1_2445,0.0460416967499124,0.0344376084447977,-14.0,3,2,12680.8,92.0,3.0,24876,24321,0,555,yes,False,22,False,21,55,Confident
QFTL02000011.1_2447,0.0324017132061214,0.0049505021319661,-15.2,2,2,21557.7,92.0,3.0,42287,37293,0,4994,yes,False,21,False,21,53,Confident
QFTL02000011.1_2449,0.0481653893720882,0.1839469128981847,-11.0,2,2,20960.9,92.0,3.0,41125,41078,0,47,no,False,21,False,21,53,Confident
QFTL02000011.1_2451,0.0209734874953307,0.1702981563771967,-20.1,4,2,48060.9,92.0,3.0,94269,93916,0,353,yes,False,22,False,20,55,Confident
QFTL02000011.1_2453,0.0209734874953307,0.15715344952446,-13.4,4,2,48315.8,92.0,3.0,94771,93916,0,855,yes,False,22,False,20,53,Confident
QFTL02000011.1_2455,0.5305130971204799,0.0,-16.7,5,2,368.1,92.0,3.0,728,700,0,28,no,False,23,False,21,57,falsepositive
QFTL02000011.1_2457,0.0077585337873906,0.3865917672152584,-29.9,4,2,2.0,90.0,3.0,5112,5002,0,110,yes,False,22,False,20,58,Candidate
QFTL02000011.1_2468,0.0471879990935801,0.6471259084219027,-30.9,1,0,22035.5,92.0,3.0,43220,43130,0,90,yes,False,22,True,21,57,Candidate
QFTL02000012.1_2874,0.2105118143255671,0.9206198354412332,-25.1,2,1,2.0,90.0,3.0,127,127,0,0,yes,False,23,True,23,68,Candidate
