provisional_id,normalized_entropy,normalized_entropy_s,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
NC_003070.9_10264,0.0359666080301424,0.4544593682973107,-45.7,2,2,593.0,17.0,13.0,1154,979,6,169,yes,True,21,True,21,83,Confident
NC_003070.9_10718,0.2050578105427187,0.0,-35.3,2,2,257.3,17.0,13.0,496,492,0,4,yes,True,21,False,21,78,Confident
NC_003070.9_10720,0.2137197215877123,0.1434375925564628,-34.3,2,2,361.8,17.0,13.0,701,497,0,204,yes,True,21,False,21,73,Confident
NC_003070.9_1457,0.1921498821855401,0.5278132989460854,-30.1,2,0,437.1,17.0,13.0,856,778,0,78,yes,False,23,True,21,76,Confident
NC_003070.9_1925,0.0441553422537675,0.6730932137308538,-29.5,2,1,5068.7,17.0,13.0,9941,9914,6,21,yes,False,22,True,20,81,Confident
NC_003070.9_3623,0.5279890754765969,,-8.4,2,3,-8.4,0.0,0.0,41,41,0,0,no,False,21,True,23,50,Confident
NC_003070.9_4347,0.3760086207451057,0.2598845951340913,-26.2,1,1,5854.1,17.0,13.0,11481,11305,0,176,yes,False,20,True,20,62,Confident
NC_003070.9_478,0.0153232200071821,,-8.8,31,16,-17.9,0.0,0.0,757844,757844,0,0,yes,True,21,True,23,68,Confident
NC_003070.9_509,0.3812069660093319,0.9288587342765352,-31.9,2,1,136.6,17.0,13.0,259,247,0,12,yes,True,21,False,20,79,Confident
NC_003070.9_5842,0.0299239481766826,0.1239510916236089,-35.3,2,2,634.1,17.0,13.0,1235,979,0,256,yes,True,21,True,21,84,Confident
NC_003070.9_6213,0.0,0.6500224213598151,-38.6,1,3,129.9,17.0,13.0,246,241,0,5,yes,True,20,True,18,82,Confident
NC_003070.9_642,0.0569773192176778,0.0857426822469634,-38.7,2,1,176.2,17.0,13.0,337,245,0,92,yes,True,20,True,21,85,Confident
NC_003070.9_6584,0.2383999023604159,0.1994517880754972,-32.2,2,2,361.7,17.0,13.0,700,496,0,204,yes,True,21,False,21,71,Confident
NC_003070.9_9718,0.0755074564913242,0.8112781241705938,-37.3,2,2,1536.1,17.0,13.0,3004,3001,0,3,yes,True,21,True,21,78,Confident
NC_003070.9_997,0.0647008836657411,0.0305120126095941,-32.9,2,2,1412.6,17.0,13.0,2762,2087,0,675,yes,True,21,False,21,78,Confident
NC_003070.9_999,0.0647008836657411,0.0202372362213036,-34.8,2,2,1412.6,17.0,13.0,2762,2087,0,675,yes,True,21,False,21,78,Confident
NC_003071.7_11027,0.210793147711345,0.8547075668059949,-27.3,4,2,-2.4,0.0,0.0,13199,12347,606,246,no,False,21,True,20,82,Confident
NC_003071.7_11387,0.0188864213495696,0.3879671764770246,-30.7,1,1,11993.8,17.0,13.0,23517,23497,0,20,yes,True,20,True,20,82,Confident
NC_003071.7_14471,0.0679150694796308,0.0,-23.1,2,1,225.7,17.0,13.0,442,441,0,1,yes,False,21,True,20,81,Confident
NC_003071.7_14472,0.0679150694796308,,-5.7,2,1,-39.3,0.0,0.0,441,441,0,0,no,False,21,True,21,68,Confident
NC_003071.7_14682,0.0779239450178703,0.2829818556135099,-34.6,2,3,392.7,17.0,13.0,769,661,0,108,yes,False,22,True,21,83,Confident
NC_003071.7_14975,0.212147091864876,0.8112781241705938,-27.8,2,2,398.3,17.0,13.0,780,762,0,18,yes,False,21,True,22,82,Confident
NC_003071.7_15315,0.286459558228163,0.5435644429110573,-39.5,0,2,5.0,16.0,13.0,77,63,0,14,yes,True,19,True,22,85,Confident
NC_003071.7_15464,0.1218939389429357,0.3838549582719058,-39.1,1,2,6798.7,17.0,13.0,13326,11639,1,1686,yes,True,21,False,20,72,Confident
NC_003071.7_15476,0.3286478941967047,0.1211460202399152,-43.2,1,1,2877.0,17.0,13.0,5634,5377,51,206,yes,True,20,True,20,80,Confident
NC_003071.7_15733,0.2152224900498033,0.3204550762714286,-32.3,1,1,90113.5,17.0,13.0,176746,136604,7,40135,yes,True,21,False,21,88,Confident
NC_003071.7_15744,0.0188725932429957,0.4827747728897312,-27.8,2,1,2310.7,17.0,13.0,4524,4481,0,43,yes,True,20,True,21,80,Confident
NC_003071.7_15758,0.3351112235979753,,-45.0,2,2,1.9,28.0,11.0,96,96,0,0,yes,False,20,True,20,81,Confident
NC_003071.7_16072,0.4896775377834066,0.8112781241705938,-15.3,2,2,-4.7,0.0,0.0,287,287,0,0,no,False,22,False,21,46,Confident
NC_003071.7_19057,0.1320987342286743,0.0,-44.2,2,1,378.9,17.0,13.0,734,731,1,2,yes,True,20,False,21,85,Confident
NC_003071.7_19316,0.2970074953827022,0.763192841472427,-33.9,3,5,50.9,17.0,13.0,98,77,0,21,yes,False,21,True,23,80,Confident
NC_003071.7_19452,0.0067444777600093,0.3981730597606192,-40.1,1,2,71761.5,17.0,13.0,140748,123200,1,17547,yes,True,20,True,19,81,Confident
NC_003074.8_20975,0.0045952429310866,0.0,-16.3,2,1,-2.3,0.0,0.0,39168,39168,0,0,no,True,20,True,18,58,Confident
NC_003074.8_24308,0.1820970330101407,0.4483670996342069,-29.9,1,2,204.0,17.0,13.0,399,345,0,54,yes,False,21,True,20,79,Confident
NC_003074.8_25004,0.0175646521854686,,-19.6,1,1,0.3,22.0,10.0,2659,2659,0,0,no,True,21,True,16,72,Confident
NC_003074.8_25432,0.0452168800228954,0.1273809986410773,-26.9,1,2,388192.8,17.0,13.0,761415,758367,11,3037,yes,True,19,True,20,62,Confident
NC_003074.8_25514,0.193849847240565,0.5741751491233078,-35.7,2,2,430.9,17.0,13.0,844,738,0,106,yes,False,21,True,21,87,Confident
NC_003074.8_29478,0.0762242176110547,0.0,-23.6,2,0,16218.6,17.0,13.0,31804,31798,3,3,yes,True,21,True,19,73,Confident
NC_003075.7_32257,0.1351643041414963,0.7318964627050925,-43.6,0,1,1.8,28.0,11.0,6860,6641,4,215,yes,False,21,True,22,83,Confident
NC_003075.7_32352,0.3308564582302517,,-11.9,0,7,-4.6,0.0,0.0,393,393,0,0,no,True,21,False,19,63,Confident
NC_003075.7_32592,0.4085654033771167,0.4666597518426881,-34.4,2,0,2474.5,17.0,13.0,4845,4233,0,612,yes,True,20,True,22,83,Confident
NC_003075.7_32930,0.1144285554504629,,-9.7,2,2,-10.2,0.0,0.0,239,239,0,0,no,True,20,True,21,65,Confident
NC_003075.7_32931,0.0816201198640959,0.0,-15.7,2,2,0.0,22.0,10.0,1519,1519,0,0,no,True,18,True,18,53,Confident
NC_003075.7_32932,0.0816201198640959,,-12.5,3,2,-1.5,0.0,0.0,1519,1519,0,0,no,True,18,True,19,69,Confident
NC_003075.7_33129,0.0063722233898419,0.152998943562952,-45.4,2,1,70588.2,17.0,13.0,138446,125087,8,13351,yes,True,20,True,23,82,Confident
NC_003075.7_35703,0.6795111409914835,0.0,-52.1,2,2,18.1,17.0,13.0,33,32,0,1,yes,False,21,True,21,80,Confident
NC_003075.7_36404,0.0797421880461345,0.8649735204448554,-43.6,2,2,1537.1,17.0,13.0,3006,3001,0,5,yes,True,21,True,21,85,Confident
NC_003075.7_36482,0.0272296617659952,0.0168407472907141,-28.3,2,2,9193.1,17.0,13.0,18023,17385,0,638,yes,True,21,False,21,59,Confident
NC_003075.7_36692,0.0067444777600093,0.3008923259115896,-40.3,1,2,68755.0,17.0,13.0,134851,123200,2,11649,yes,True,20,True,19,82,Confident
NC_003076.8_36923,0.2225781776034054,0.131106529293806,-25.9,2,1,97.7,17.0,13.0,184,130,0,54,yes,True,21,False,20,83,Confident
NC_003076.8_37813,0.0026758975761531,0.5732426529068936,-45.6,2,1,62994.7,17.0,13.0,123552,123072,0,480,yes,True,20,True,21,92,Confident
NC_003076.8_40575,0.0040620265713482,0.0,-33.2,2,1,295567.5,17.0,13.0,579735,579656,3,76,yes,True,21,True,21,89,Confident
NC_003076.8_41625,0.007699568480696,0.2870860724715076,-34.6,2,2,295745.8,17.0,13.0,580085,580058,0,27,yes,True,21,True,21,88,Confident
NC_003076.8_41854,0.0251579874883515,0.0,-34.7,2,1,295.6,17.0,13.0,572,401,0,171,yes,True,21,True,20,87,Confident
NC_003076.8_41956,0.0342259104421907,0.3815288484121945,-35.4,1,2,67728.7,17.0,13.0,132838,128560,9,4269,yes,True,21,True,22,84,Confident
NC_003076.8_42013,0.0485733739958837,0.1929524608871178,-45.2,1,1,64182.8,17.0,13.0,125883,125744,0,139,yes,True,20,True,20,87,Confident
NC_003076.8_42370,0.0620038355407858,0.346793228701782,-33.6,1,2,67599.0,17.0,13.0,132584,128531,0,4053,yes,True,21,True,22,87,Confident
NC_003076.8_45071,0.7246734919947692,,-10.3,6,10,-8.6,0.0,0.0,68,68,0,0,no,True,20,False,22,79,Confident
NC_003076.8_45467,0.05408499790801,0.392840944196021,-39.3,2,3,13251.3,17.0,13.0,25983,24009,10,1964,yes,True,22,True,21,91,Confident
NC_003076.8_45607,0.394361933726696,0.4687856995867135,-45.8,2,2,3101.9,17.0,13.0,6075,5347,21,707,yes,True,20,True,20,83,Confident
NC_003076.8_45608,0.394361933726696,0.0,-15.1,2,2,-3.7,0.0,0.0,5347,5347,0,0,no,True,20,True,17,69,Confident
NC_003076.8_46036,0.6576604710612108,0.0,-39.5,2,1,113.7,17.0,13.0,214,170,1,43,yes,True,20,True,21,86,Confident
NC_003076.8_46289,0.0055875689685113,0.6911980884769326,-21.9,2,2,11376.0,17.0,13.0,22305,22178,1,126,yes,True,21,True,21,62,Confident
