provisional_id,five_prime_process_signal_selected_row_count_sum_over_mature_count_sum,num_locis,Folding Energy,3' Overhang Bot,3' Overhang Top,Accepted Overhang?,miRDeep2_score,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
QFTL02000023.1_11538,0.9891496313303016,229,-25.7,2,2,True,369501.7,724760,718682,0,6078,yes,False,22,True,22,56,Confident
QFTL02000066.1_24971,0.97491963,451,-21.3,2,1,True,198913.1,390158,208406,1,181751,yes,False,22,False,23,62,Confident
QFTL02000053.1_22562,0.9236200109474816,535,-25.4,2,3,True,165148.4,323930,305036,0,18894,yes,False,23,False,22,59,Confident
QFTL02000129.1_4096,0.9975523623162624,417,-22.2,1,3,True,154799.8,303632,303456,0,176,yes,False,23,False,21,58,Confident
QFTL02000002.1_9764,0.9964153637509634,289,-23.7,2,2,True,94518.3,185393,167381,0,18012,yes,False,23,True,23,60,Confident
QFTL02000135.1_4908,0.9833511164315828,162,-20.9,2,1,True,78360.8,153700,152862,0,838,yes,False,22,True,22,59,Confident
QFTL02000001.1_378,0.6315223280539611,381,-23.4,2,1,True,77036.1,151102,127291,0,23811,yes,False,22,True,23,58,Confident
QFTL02000013.1_4297,0.9983363945680648,138,-22.3,2,4,False,67726.3,132841,132829,0,12,yes,False,22,True,25,60,Candidate
QFTL02000034.1_16128,0.8061177529376873,301,-25.0,2,2,True,49850.2,97771,79371,0,18400,yes,True,22,True,23,59,Confident
QFTL02000011.1_2453,0.9833305199189736,211,-13.4,4,2,False,48315.8,94771,93916,0,855,yes,False,22,False,20,53,Confident
QFTL02000011.1_2451,0.9885452462772052,214,-20.1,4,2,False,48060.9,94269,93916,0,353,yes,False,22,False,20,55,Confident
QFTL02000015.1_6003,0.9914711856860616,160,-24.8,2,1,True,36746.9,72077,71874,0,203,yes,False,21,False,22,58,Confident
QFTL02000013.1_4335,0.90658323,223,-20.6,2,2,True,36324.6,71247,64919,220,6108,yes,False,22,False,22,62,Confident
QFTL02000047.1_20715,0.5171244712891493,245,-23.6,2,1,True,30974.1,60745,31734,0,29011,yes,True,22,True,21,56,Confident
QFTL02000003.1_14435,0.9904003546583005,165,-23.1,2,2,True,29891.6,58629,58321,0,308,yes,False,22,True,24,56,Confident
QFTL02000044.1_20370,0.9808792218093768,151,-23.3,2,2,True,24422.5,47904,47798,0,106,yes,False,22,True,24,59,Confident
QFTL02000011.1_2468,0.9790148307535688,149,-30.9,1,0,False,22035.5,43220,43130,0,90,yes,False,22,True,21,57,Candidate
QFTL02000011.1_2447,0.8721889853153302,162,-15.2,2,2,True,21557.7,42287,37293,0,4994,yes,False,21,False,21,53,Confident
QFTL02000011.1_2449,0.9801833345490796,145,-11.0,2,2,True,20960.9,41125,41078,0,47,no,False,21,False,21,53,Confident
QFTL02000024.1_11722,0.9985845718329794,98,-31.7,2,2,True,14498.5,28436,28260,0,176,yes,False,22,False,22,57,Confident
QFTL02000062.1_24303,0.7797139244507666,133,-22.4,2,1,True,12902.4,25307,19859,0,5448,yes,False,23,True,22,61,Confident
QFTL02000010.1_991,0.995851946,126,-25.6,1,2,True,12780.6,25067,25020,0,47,yes,False,22,True,23,56,Candidate
QFTL02000008.1_37991,0.9954183747287196,141,-21.4,2,2,True,12733.8,24975,24879,0,96,yes,False,23,False,22,61,Candidate
QFTL02000011.1_2445,0.8662620090846967,125,-14.0,3,2,True,12680.8,24876,24321,0,555,yes,False,22,False,21,55,Confident
QFTL02000062.1_24293,0.7021746239372139,198,-29.8,2,1,True,12406.0,24332,17772,0,6560,yes,False,22,True,21,62,Candidate
QFTL02000032.1_15538,0.9188913525498892,101,-25.6,2,3,True,11488.2,22532,22072,0,460,yes,False,21,True,25,63,Candidate
QFTL02000007.1_25443,0.4904885030935451,140,-19.4,2,2,True,11042.0,21658,10655,0,11003,yes,False,22,True,22,58,Confident
QFTL02000007.1_25705,0.9965865384615384,117,-29.9,2,2,True,10616.5,20822,20800,0,22,yes,False,23,True,22,59,Candidate
QFTL02000062.1_24295,0.8562341683084718,110,-19.8,3,3,True,9052.4,17755,17031,0,724,yes,False,22,True,22,60,Confident
QFTL02000009.1_39332,0.997067449,126,-24.7,1,2,True,8337.4,16352,15001,0,1351,yes,False,23,False,22,59,Confident
QFTL02000003.1_14369,0.58803945,150,-26.2,1,2,True,8107.4,15902,9404,0,6498,yes,False,21,True,23,56,Confident
QFTL02000011.1_2437,0.945904173,100,-18.4,4,2,False,5596.7,10976,10945,0,31,yes,False,22,False,20,55,Candidate
QFTL02000069.1_25257,0.9778432656625192,59,-26.1,3,1,True,4671.3,9161,9100,0,61,yes,False,23,True,20,55,Candidate
QFTL02000014.1_5069,0.9494572963490844,81,-17.4,2,0,False,4637.5,9096,8747,0,349,yes,False,23,True,22,59,Candidate
QFTL02000033.1_15670,0.9896228520419548,88,-25.7,2,1,True,4565.3,8953,8948,0,5,yes,False,22,True,23,59,Candidate
QFTL02000011.1_2439,0.8676367869615832,81,-15.3,3,2,True,4373.3,8588,7749,0,839,no,False,22,False,21,54,Candidate
QFTL02000001.1_814,0.9921190893169878,63,-26.5,2,2,True,4076.0,7994,7967,0,27,yes,False,23,True,23,64,Candidate
QFTL02000135.1_4906,0.975283513,56,-23.8,2,1,True,3507.3,6878,6771,0,107,yes,False,22,True,23,62,Candidate
QFTL02000013.1_4337,0.8794808405438813,109,-21.5,1,1,True,3294.3,6460,5931,0,529,yes,False,23,True,22,61,Candidate
QFTL02000051.1_22345,0.977606593,79,-22.7,2,3,True,3235.4,6345,5582,0,763,yes,False,23,True,22,61,Candidate
QFTL02000544.1_22830,0.9121171770972036,69,-25.4,1,2,True,3088.2,6055,5995,0,60,yes,False,23,True,21,55,Candidate
QFTL02000062.1_24301,0.5390489413398125,73,-20.9,1,1,True,2901.7,5690,5613,0,77,yes,False,21,True,23,59,Candidate
QFTL02000012.1_2901,0.9835176751247018,39,-27.3,3,3,True,2340.8,4589,4584,0,5,yes,False,22,True,22,56,Candidate
QFTL02000032.1_15327,0.7366978762274492,63,-17.9,2,2,True,2226.8,4367,3248,0,1119,yes,False,22,True,23,57,Confident
QFTL02000011.1_2441,0.6429788269651984,69,-20.8,3,2,True,2092.3,4105,3991,0,114,yes,False,22,False,21,54,Candidate
QFTL02000062.1_24299,0.955776398,52,-24.3,3,1,True,2042.3,4004,3858,0,146,yes,False,24,True,22,57,Candidate
QFTL02000047.1_20720,0.9863760217983653,73,-24.8,3,1,True,1861.2,3648,3279,0,369,yes,False,20,True,22,56,Candidate
QFTL02000007.1_25888,0.3929873772791024,89,-22.7,2,4,False,1768.3,3467,3463,0,4,yes,False,21,False,23,60,falsepositive
QFTL02000010.1_993,0.5338485316846986,66,-28.4,2,2,True,1650.5,3235,2051,0,1184,yes,False,23,False,24,60,Candidate
QFTL02000009.1_39327,0.7356544165054804,97,-41.6,2,2,True,1476.1,2893,2513,3,377,yes,False,21,False,21,63,falsepositive
QFTL02000053.1_22608,0.6395256916996047,46,-18.9,2,2,True,1285.7,2521,1622,0,899,yes,False,22,False,24,58,Candidate
QFTL02000053.1_22612,0.6395256916996047,46,-18.9,2,2,True,1285.7,2521,1622,0,899,yes,False,22,False,24,58,Candidate
QFTL02000094.1_39897,0.7265948632974316,59,-17.6,2,1,True,1230.2,2412,1785,0,627,yes,False,22,True,22,59,Candidate
QFTL02000530.1_22632,0.7265948632974316,59,-17.6,2,1,True,1230.2,2412,1785,0,627,yes,False,22,True,22,59,Candidate
QFTL02000246.1_12132,0.9925634295713036,36,-19.1,1,2,True,1210.0,2373,2278,0,95,yes,False,24,True,22,57,Candidate
QFTL02000013.1_4578,0.8925468678555099,47,-21.1,1,1,True,1118.9,2187,1983,0,204,yes,True,21,False,21,55,Confident
QFTL02000012.1_2903,0.9908883826879272,25,-16.0,2,2,True,1118.9,2193,2183,0,10,yes,False,22,False,25,59,Candidate
QFTL02000043.1_20123,0.9953401677539608,34,-17.8,2,2,True,1080.2,2121,1069,0,1052,yes,False,24,False,22,57,Confident
QFTL02000122.1_3889,0.9867674858223062,43,-21.0,2,2,True,1060.6,2080,1572,0,508,yes,False,22,True,22,61,Candidate
QFTL02000197.1_9265,0.9793759915388685,22,-25.1,2,2,True,965.0,1891,1869,0,22,yes,False,22,True,23,58,Candidate
QFTL02000007.1_25445,0.6066465256797583,63,-28.0,2,3,True,829.7,1626,1132,0,494,yes,False,22,True,23,57,Candidate
QFTL02000040.1_18232,0.9808219178082191,30,-25.9,2,2,True,794.5,1556,1435,0,121,yes,False,23,False,22,55,Candidate
QFTL02000255.1_12874,0.995959596,20,-22.5,2,3,True,757.8,1485,1482,0,3,yes,False,21,True,22,58,Candidate
QFTL02000255.1_12878,0.995959596,20,-21.1,2,2,True,757.4,1485,1482,0,3,yes,False,21,True,22,58,Candidate
QFTL02000255.1_12876,0.9959541469993256,18,-21.1,2,2,True,756.7,1483,1480,0,3,yes,False,21,True,22,58,Candidate
QFTL02000047.1_20721,0.9047237790232184,38,-20.3,2,2,True,624.6,1223,1148,0,75,yes,False,22,False,22,58,Candidate
QFTL02000595.1_23519,0.841714757,29,-17.6,2,2,True,617.1,1212,1170,0,42,yes,False,22,True,22,63,Candidate
QFTL02000067.1_25094,0.914983165,25,-27.6,2,3,True,606.4,1188,1099,0,89,yes,False,22,True,22,58,Candidate
QFTL02000011.1_2444,0.9239482200647248,48,-15.2,3,2,True,575.8,1130,618,0,512,yes,False,21,False,22,55,Candidate
QFTL02000255.1_12872,0.9875598086124402,26,-19.8,3,2,True,532.4,1045,1035,0,10,yes,False,23,True,23,59,Candidate
QFTL02000004.1_18032,0.953921569,20,-21.1,1,2,True,516.0,1020,980,0,40,no,False,21,True,24,57,Candidate
QFTL02000009.1_39546,0.5400271370420624,23,-29.7,2,2,True,375.7,735,398,0,337,yes,False,20,False,20,79,falsepositive
QFTL02000011.1_2455,0.524005487,31,-16.7,5,2,False,368.1,728,700,0,28,no,False,23,False,21,57,falsepositive
QFTL02000265.1_13104,0.9715370018975332,14,-23.4,2,1,True,347.1,679,527,0,152,yes,False,22,True,23,61,Candidate
QFTL02000019.1_9128,0.9642301710730948,12,-26.6,3,2,True,328.9,643,631,0,12,yes,False,23,False,22,60,Candidate
QFTL02000050.1_21777,0.936037441,39,-21.8,2,2,True,310.4,610,606,0,4,yes,False,24,True,24,66,Candidate
QFTL02000075.1_26691,0.936037441,39,-21.8,2,2,True,310.4,610,606,0,4,yes,False,24,True,24,66,Candidate
QFTL02000005.1_21259,0.3054607508532423,29,-18.4,2,3,True,298.6,586,318,0,268,yes,False,22,True,23,61,falsepositive
QFTL02000817.1_38299,0.3054607508532423,29,-18.4,2,3,True,298.6,586,318,0,268,yes,False,22,True,23,61,falsepositive
QFTL02000043.1_20165,0.9772151898734176,25,-25.1,2,2,True,289.1,565,394,0,171,yes,False,23,True,22,57,Candidate
QFTL02000019.1_9095,0.995967742,18,-24.4,2,2,True,282.0,551,496,0,55,yes,False,22,False,22,55,Candidate
QFTL02000004.1_17851,0.8211920529801324,50,-19.3,2,2,True,222.6,436,396,0,40,yes,False,22,True,22,51,Candidate
QFTL02000009.1_39390,0.795774648,22,-23.8,2,2,True,218.3,426,412,0,14,yes,False,22,False,22,62,Candidate
QFTL02000040.1_18215,0.9858490566037736,12,-30.7,1,1,True,216.5,424,421,0,3,yes,False,21,False,21,56,Candidate
