provisional_id,five_prime_process_signal_selected_row_count_sum_over_mature_count_sum,num_locis,Folding Energy,3' Overhang Bot,3' Overhang Top,Accepted Overhang?,miRDeep2_score,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_16025,0.9979738528606158,250,-23.3,2,2,True,1762132.6,3456350,3454822,0,1528,no,False,22,True,22,59,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_12874,0.9949022394862012,348,-22.4,3,2,True,1630928.5,3198997,3196823,25,2149,no,False,22,True,22,63,Confident
GWHACBE00002036_OriSeqID=ctg4781_Len=34162_44997,0.9949028619046248,348,-19.5,3,2,True,1630917.7,3198973,3196823,1,2149,yes,False,22,True,22,63,Confident
GWHACBE00000005_Chromosome_5_Complete=T_Circular=F_OriSeqID=Chr05_Len=111976267_20086,0.9964419018250376,234,-23.2,2,2,True,1335889.1,2620291,2620196,0,95,no,False,22,True,22,60,Confident
GWHACBE00000010_Chromosome_10_Complete=T_Circular=F_OriSeqID=Chr10_Len=73678751_37056,0.9966798614146712,282,-25.5,2,2,True,1262005.4,2475371,2468571,0,6800,no,False,22,True,22,60,Confident
GWHACBE00000009_Chromosome_9_Complete=T_Circular=F_OriSeqID=Chr09_Len=74019141_35192,0.9915730849238776,287,-20.8,2,4,False,922739.4,1809915,1796560,0,13355,no,False,22,True,25,63,Confident
GWHACBE00003622_OriSeqID=ctg879_Len=275488_46514,0.9951795600299096,363,-22.1,2,0,False,845090.1,1657606,1655658,0,1948,yes,False,21,True,23,61,Confident
GWHACBE00000004_Chromosome_4_Complete=T_Circular=F_OriSeqID=Chr04_Len=123808561_18016,0.9977397943884242,240,-27.1,2,2,True,683972.0,1341583,1340586,115,882,no,False,22,True,24,65,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_14060,0.9880104156540912,280,-20.4,2,2,True,494058.9,969079,966210,611,2258,no,False,22,True,22,70,Confident
GWHACBE00000006_Chromosome_6_Complete=T_Circular=F_OriSeqID=Chr06_Len=88474218_25221,0.99286182,274,-16.6,2,2,True,251439.3,493193,475889,0,17304,no,False,22,True,22,56,Confident
GWHACBE00000005_Chromosome_5_Complete=T_Circular=F_OriSeqID=Chr05_Len=111976267_20176,0.9135735337989518,254,-21.0,2,3,True,241299.1,473300,472633,0,667,no,False,23,True,22,61,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13925,0.9451610807533224,257,-22.3,2,2,True,211500.6,414852,394695,51,20106,no,False,22,True,23,67,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13923,0.9896379148192932,362,-19.4,2,1,True,182111.1,357207,355900,299,1008,no,False,25,True,22,68,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_16116,0.9694664989255338,199,-24.7,2,2,True,169385.4,332244,327043,0,5201,no,False,23,True,22,59,Confident
GWHACBE00000011_Chromosome_11_Complete=T_Circular=F_OriSeqID=Chr11_Len=55753002_39587,0.9975524253087928,245,-21.7,2,3,True,153241.3,300578,298643,17,1918,no,False,23,False,22,62,Confident
GWHACBE00000004_Chromosome_4_Complete=T_Circular=F_OriSeqID=Chr04_Len=123808561_18505,0.9959332324203042,274,-20.6,2,1,True,123927.5,243082,242347,0,735,no,False,22,True,22,61,Confident
