provisional_id,normalized_entropy,normalized_entropy_s,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_13,0.0051505849648796,0.005616785679254,-26.6,1,2,133669.4,87.0,2.0,262189,259942,9,2238,no,False,22,True,23,67,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1682,0.0734208250620406,0.7639476594864277,-19.3,3,1,40306.6,87.0,2.0,79062,78669,0,393,no,False,20,True,22,69,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1794,0.0423085164468469,0.2599071506336796,-26.9,2,2,5135.8,87.0,2.0,10075,9665,392,18,no,False,24,False,22,65,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_231,0.0052565541721721,0.5435644429110573,-29.6,2,3,0.0,42.0,2.0,39353,39257,0,96,no,False,22,True,23,61,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3356,0.0228843811183202,0.0050830344130831,-27.8,0,2,0.0,42.0,2.0,69034,66517,15,2502,no,False,20,True,23,65,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_339,0.0434537727531964,0.0512101938838955,-19.3,2,0,2747606.1,87.0,2.0,5389313,5381170,0,8143,no,False,23,True,22,60,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_340,0.0434537727531964,,-12.0,1,0,-8.6,4.0,1.0,5381170,5381170,0,0,no,False,23,True,21,61,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3465,0.0494472107600984,0.4064480791747034,-29.5,2,2,2963.1,87.0,2.0,5814,4401,0,1413,no,False,22,True,22,58,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3586,0.0209499408865256,0.0,-26.2,2,2,42021.0,87.0,2.0,82424,82102,17,305,no,False,22,False,22,65,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3588,0.0664935596531081,0.6440344717191966,-27.8,2,2,5100.3,87.0,2.0,10005,9799,11,195,no,False,21,True,23,62,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3657,0.4232219899566968,0.0,-21.5,2,3,133392.5,87.0,2.0,261647,261308,0,339,no,False,22,True,23,60,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3786,0.1471744143065118,0.5550723525481186,-18.3,2,1,370.6,87.0,2.0,730,428,0,302,no,False,22,False,22,60,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3788,0.0073357865360697,,-18.7,2,2,0.0,42.0,2.0,42874,42874,0,0,no,False,22,True,22,61,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4558,0.9786057089898956,0.0,-22.5,0,2,-0.4,16.0,2.0,580,553,0,27,no,False,22,True,23,61,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4587,0.3898626116540244,0.0,-22.2,2,3,133392.7,87.0,2.0,261647,261308,0,339,no,False,22,True,23,59,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4648,0.0081950425753197,,-24.9,2,2,0.0,42.0,2.0,37921,37921,0,0,no,False,22,True,25,65,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4734,0.1502732817637084,0.6662908488939694,-21.1,1,2,1133.7,87.0,2.0,2226,2173,0,53,no,False,21,True,25,62,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4907,0.0039786657261538,0.6179995183424086,-22.7,2,2,521849.3,87.0,2.0,1023586,1023449,0,137,no,False,22,True,22,61,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_507,0.0308334334465666,0.8014767288562166,-33.1,1,2,18428.8,87.0,2.0,36148,35270,67,811,no,False,21,True,22,61,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_5240,0.04319487919114,,-21.7,2,2,-0.7,16.0,2.0,13521,13521,0,0,no,False,22,True,22,63,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_633,0.0131827261002159,0.0,-27.0,2,2,16142.4,87.0,2.0,31664,31573,0,91,no,False,22,True,22,59,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_670,0.1086589919807297,0.5827629779531165,-20.0,2,2,2172.6,87.0,2.0,4263,3335,0,928,no,False,22,True,23,59,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_749,0.0157447314606595,0.3602750561331236,-21.3,2,2,73656.1,87.0,2.0,144468,144322,0,146,no,True,23,True,24,60,Confident
GWHACBE00000002_Chromosome_2_Complete=T_Circular=F_OriSeqID=Chr02_Len=139115577_11590,0.0316636294649983,0.3033415458221336,-20.4,1,2,65836.0,87.0,2.0,129136,128054,483,599,no,False,21,True,22,62,Confident
GWHACBE00000002_Chromosome_2_Complete=T_Circular=F_OriSeqID=Chr02_Len=139115577_11910,0.0376900873243866,0.5127060215862909,-20.8,2,2,3197.6,87.0,2.0,6274,5965,0,309,no,False,22,True,21,58,Confident
GWHACBE00000002_Chromosome_2_Complete=T_Circular=F_OriSeqID=Chr02_Len=139115577_12202,0.0244267683162575,0.050658537563251,-31.0,2,2,23727.8,87.0,2.0,46542,39220,0,7322,no,False,22,True,22,57,Confident
GWHACBE00000002_Chromosome_2_Complete=T_Circular=F_OriSeqID=Chr02_Len=139115577_12204,0.0109729123832134,0.0,-22.6,2,1,115319.5,87.0,2.0,226197,219367,49,6781,no,False,23,True,22,64,Confident
GWHACBE00000002_Chromosome_2_Complete=T_Circular=F_OriSeqID=Chr02_Len=139115577_12207,0.0070536479333657,0.0680850908489738,-22.1,2,2,726823.5,87.0,2.0,1425635,1417485,0,8150,no,False,22,True,22,59,Confident
GWHACBE00000002_Chromosome_2_Complete=T_Circular=F_OriSeqID=Chr02_Len=139115577_12314,0.0415917028810481,0.0162392803766086,-20.8,2,1,23963.1,87.0,2.0,47005,37009,0,9996,no,False,23,True,22,63,Confident
GWHACBE00000002_Chromosome_2_Complete=T_Circular=F_OriSeqID=Chr02_Len=139115577_8805,0.1290531608185345,0.0,-22.9,2,2,6931.3,87.0,2.0,13598,13523,0,75,no,False,22,True,22,60,Confident
GWHACBE00000002_Chromosome_2_Complete=T_Circular=F_OriSeqID=Chr02_Len=139115577_8875,0.0077551819259931,0.8238010872634098,-21.5,2,2,10883.9,87.0,2.0,21351,21196,0,155,no,False,22,True,23,59,Confident
GWHACBE00000002_Chromosome_2_Complete=T_Circular=F_OriSeqID=Chr02_Len=139115577_9243,0.024356796138616,0.0,-31.9,0,2,-0.1,16.0,2.0,32040,32017,0,23,no,False,19,True,23,62,Confident
GWHACBE00000002_Chromosome_2_Complete=T_Circular=F_OriSeqID=Chr02_Len=139115577_9391,0.0053858013924256,0.8832225585213901,-13.7,5,2,-0.2,16.0,2.0,3678183,3678131,0,52,no,False,22,True,21,57,Confident
GWHACBE00000002_Chromosome_2_Complete=T_Circular=F_OriSeqID=Chr02_Len=139115577_9554,0.0554854554308976,0.637188004416737,-26.7,1,1,1508.0,87.0,2.0,2959,2429,0,530,no,False,23,True,23,65,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_12809,0.0060818978785032,0.0223683878449881,-20.2,0,2,-1.8,7.0,2.0,4131697,4127671,0,4026,no,False,20,True,24,60,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_12871,0.220032340442745,,-24.7,2,2,-1.2,7.0,2.0,2200471,2200471,0,0,no,False,21,True,20,82,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_12872,0.220032340442745,0.1526264451726815,-26.6,2,0,0.0,42.0,2.0,2225081,2200471,12,24598,no,False,21,True,23,68,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_12944,0.0099723387977191,0.065719726492652,-24.4,2,2,1673705.8,87.0,2.0,3282904,3280207,0,2697,no,False,23,True,22,61,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_12947,0.0272782725712661,0.0,-18.1,2,2,20491.8,87.0,2.0,40196,39337,0,859,no,False,22,True,22,55,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_12951,0.0270888761704352,0.0092748060180133,-20.6,2,2,75130.3,87.0,2.0,147369,141814,0,5555,no,False,23,True,22,61,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_12982,0.0078957554187815,0.0,-22.4,2,3,487162.2,87.0,2.0,955550,955519,0,31,no,False,23,False,22,60,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13105,0.0078196677859761,0.1218845642033006,-18.8,2,3,30773.2,87.0,2.0,60362,60125,0,237,no,False,22,False,25,62,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13107,0.0070009016868247,0.598798183455748,-25.3,2,2,113945.4,87.0,2.0,223501,223398,0,103,no,False,22,True,23,65,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13108,0.0070009016868247,,-13.7,2,1,-3.3,4.0,2.0,223398,223398,0,0,no,False,22,True,26,66,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13111,0.0200293630801961,0.2401457603315717,-22.8,2,2,38976.1,87.0,2.0,76452,73269,0,3183,no,False,22,True,24,63,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13258,0.0355039211381588,0.942163168795012,-17.1,2,3,46343.5,87.0,2.0,90904,90840,0,64,no,False,23,True,22,63,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13260,0.0182670245143725,0.4354969165559188,-21.1,2,3,33662.6,87.0,2.0,66032,65123,18,891,no,False,25,True,22,64,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13331,0.0665009375794807,0.5436498995660146,-25.0,1,2,502717.1,87.0,2.0,986059,983876,0,2183,no,False,22,True,23,64,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13332,0.0665009375794807,,-15.6,2,3,-7.1,4.0,1.0,983876,983876,0,0,no,False,22,True,23,88,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13701,0.1949614185541897,0.9995708390587832,-23.0,2,4,2711.7,87.0,2.0,5321,5280,0,41,no,False,22,True,25,62,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13743,0.0132025715015894,0.1147452728560064,-20.5,2,2,1640470.8,87.0,2.0,3217716,3214235,0,3481,no,False,22,True,22,59,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13815,0.0,,-11.8,2,5,-0.7,16.0,2.0,1430,1430,0,0,no,False,23,True,21,49,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13816,0.0,0.5762914609288979,-22.2,2,2,765.1,87.0,2.0,1503,1430,0,73,no,False,23,True,23,61,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_13952,0.0095896432822748,0.1612099043678692,-19.8,2,2,150807.6,87.0,2.0,295805,290362,36,5407,no,False,22,True,22,68,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_14058,0.0134038126438425,0.4683636264234312,-26.5,3,1,178031.4,87.0,2.0,349203,341068,0,8135,no,False,21,True,23,60,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_14147,0.1344093001782555,0.5474082944182682,-26.0,1,2,1313.8,87.0,2.0,2579,2420,0,159,no,False,22,True,23,60,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_14148,0.1344093001782555,,-11.3,5,2,-6.2,3.0,1.0,2420,2420,0,0,no,False,22,True,25,72,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_14218,0.0171800150934096,0.1487182716786574,-19.7,2,2,28051.4,87.0,2.0,55024,50847,0,4177,no,False,22,True,22,61,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_14307,0.0626582645033913,0.3822241576916096,-21.8,1,3,2598.4,87.0,2.0,5100,4410,0,690,no,False,21,True,23,61,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_14795,0.0517523487185635,0.0175096451084124,-18.5,2,2,13554.8,87.0,2.0,26589,15817,0,10772,no,False,22,True,22,61,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_14944,0.0115024520776117,0.0,-25.0,1,3,32199.8,87.0,2.0,63161,62735,0,426,no,False,21,True,23,61,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_14965,0.0313435265330993,0.4434581451011399,-25.1,2,2,4981.3,87.0,2.0,9773,9621,0,152,no,False,24,False,22,61,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_15062,0.3950035799657273,0.6755221577984284,-19.6,0,1,-0.7,16.0,2.0,26221,25810,0,411,no,False,21,True,22,63,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_15174,0.0396188397673372,0.9882836107033774,-23.5,0,1,-0.3,16.0,2.0,9109,9078,0,31,no,False,20,True,22,57,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_15257,0.0151347391566847,0.0787807028830938,-19.8,2,2,118265.8,87.0,2.0,231976,230139,16,1821,no,False,23,True,22,65,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_15259,0.0297216726988523,0.0,-9.8,11,10,-14.0,0.04,0.0,338267,338267,0,0,no,False,21,True,22,66,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_15260,0.0297216726988523,0.3744715425504391,-22.3,1,2,185709.0,87.0,2.0,364262,338267,5,25990,no,False,21,True,22,65,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_15289,0.0567707239243316,0.468439488722809,-24.3,2,2,3975.4,87.0,2.0,7799,7620,0,179,no,False,22,True,22,61,Confident
GWHACBE00000003_Chromosome_3_Complete=T_Circular=F_OriSeqID=Chr03_Len=138077151_15778,0.2674938770231882,0.028057149865563,-20.4,1,3,90609.5,87.0,2.0,177729,177370,6,353,no,False,21,True,23,62,Confident
