provisional_id,normalized_entropy,normalized_entropy_s,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
NC_004354.4_1008,0.0445467044673727,0.1609094434190817,-20.1,2,2,64120.1,53.0,6.0,125762,123107,153,2502,yes,True,23,False,22,69,Confident
NC_004354.4_1010,0.0330157481932637,0.0910842295715633,-22.1,2,1,5.0,54.0,6.0,408620,378218,856,29546,yes,True,21,True,22,68,Confident
NC_004354.4_1012,0.047997914198412,0.0945806654763984,-21.7,2,3,67296.6,53.0,6.0,131991,126048,73,5870,yes,True,23,True,22,64,Confident
NC_004354.4_1078,0.0272184806207735,0.0436005069514988,-15.6,2,2,11624.0,53.0,6.0,22792,19931,2,2859,yes,True,21,True,21,62,Confident
NC_004354.4_1079,0.2778991149663602,0.0410715595129016,-27.8,0,3,1.6,60.0,5.0,587623,520717,0,66906,yes,False,21,True,19,57,Confident
NC_004354.4_1115,0.189677974879508,0.0,-11.5,2,1,599.4,53.0,6.0,1175,1167,0,8,yes,True,21,True,20,56,Confident
NC_004354.4_1119,0.0527436952636907,0.0,-9.3,1,2,-18.3,0.18,0.0,1333,1333,0,0,no,True,23,True,25,60,Confident
NC_004354.4_1120,0.0527436952636907,0.5729594322780804,-16.3,1,2,994.5,53.0,6.0,1945,1333,0,612,yes,True,23,True,20,66,Confident
NC_004354.4_1122,0.0342198884384917,0.3712323263523366,-18.1,0,3,1683.0,53.0,6.0,3304,3206,0,98,no,True,23,True,20,60,Confident
NC_004354.4_1130,0.2944113330155357,0.4648957538693309,-21.1,0,3,749.3,53.0,6.0,1464,1430,0,34,yes,True,23,True,20,59,Confident
NC_004354.4_1131,0.2289523897757147,0.2924827677469789,-16.0,1,2,15813.9,53.0,6.0,31009,30504,0,505,yes,True,21,True,22,58,Confident
NC_004354.4_1133,0.048269435241033,0.372416714938219,-16.7,0,2,3.9,52.0,6.0,4240,4222,16,2,yes,True,19,True,21,59,Confident
NC_004354.4_1135,0.42726605534467,0.2989466704893241,-17.9,1,2,9489.0,53.0,6.0,18604,18030,0,574,yes,True,21,False,23,58,Confident
NC_004354.4_1136,0.42726605534467,0.0,-18.9,2,9,-0.7,20.0,6.0,18030,18030,0,0,no,True,21,False,17,59,Confident
NC_004354.4_5445,0.0174832033032615,0.0309551709990361,-24.1,1,2,3708.5,53.0,6.0,7266,3823,15,3428,yes,True,24,False,21,66,Confident
NC_004354.4_5551,0.0388814268101344,0.0,-13.6,2,1,-12.3,0.18,0.0,104683,104683,0,0,no,True,21,True,25,81,Confident
NC_004354.4_5552,0.0388814268101344,0.0702215838928939,-29.2,1,2,54256.2,53.0,6.0,106413,104683,2,1728,yes,True,21,True,22,63,Confident
NC_004354.4_5621,0.0330916098359657,0.3420426193917806,-14.4,2,2,6364.2,53.0,6.0,12481,12366,0,115,yes,True,23,True,23,62,Confident
NC_004354.4_5623,0.2269558075224246,0.075841506088608,-18.3,0,2,216.7,53.0,6.0,418,310,0,108,yes,True,22,True,20,54,Confident
NC_004354.4_5625,0.0366266432936244,0.0790070752920651,-11.5,2,1,9376.8,53.0,6.0,18390,13950,0,4440,yes,True,21,False,22,58,Confident
NC_004354.4_5627,0.0366266432936244,0.0790070752920651,-11.5,2,1,9377.9,53.0,6.0,18390,13950,0,4440,yes,True,21,False,22,58,Confident
NC_004354.4_5629,0.0553984653893167,0.0413604075493795,-20.9,1,3,9508.1,53.0,6.0,18643,15974,0,2669,yes,True,23,True,21,60,Confident
NC_004354.4_6009,0.0492599290074629,0.2696987352017662,-22.7,2,2,46799.3,53.0,6.0,91787,85791,610,5386,yes,True,22,True,22,62,Confident
NC_004354.4_6018,0.0854143793847177,0.0386875147772545,-21.9,2,1,11309.9,53.0,6.0,22176,21664,0,512,yes,True,21,False,20,54,Confident
NC_004354.4_6167,0.107384771258499,0.9206198354412332,-22.7,3,2,362.0,53.0,6.0,710,706,2,2,no,True,21,True,23,77,Confident
NC_004354.4_6168,0.107384771258499,0.4643038788137537,-16.5,0,2,0.6,53.0,5.0,770,706,9,55,no,True,21,True,23,63,Confident
NC_004354.4_737,0.0366560658228345,0.0819571418754584,-24.5,3,2,1817914.2,53.0,6.0,3565752,3535146,0,30606,yes,True,23,True,24,61,Confident
NC_004354.4_943,0.0638565017170594,0.1000488419085294,-21.5,2,3,282794.2,53.0,6.0,554682,553031,5,1646,yes,True,21,True,23,65,Confident
NC_004354.4_953,0.0331074930890881,0.0782294644358117,-19.4,1,0,4986.6,53.0,6.0,9772,8988,1,783,yes,True,21,True,21,61,Confident
NT_033777.3_37050,0.1136426209170311,0.1518902537342629,-28.9,1,2,13587.5,53.0,6.0,26642,17484,0,9158,yes,True,22,False,21,56,Confident
NT_033777.3_37375,0.021016081171768,0.0376796753662741,-23.2,1,1,5.0,54.0,6.0,3066620,3064696,516,1408,yes,True,21,True,21,62,Confident
NT_033777.3_37379,0.0420704254674826,0.1031851492791419,-25.1,2,0,546645.9,53.0,6.0,1072214,1061825,5096,5293,yes,True,22,True,20,63,Confident
NT_033777.3_37382,0.014074533896485,0.0142403422527825,-29.4,2,1,5.2,54.0,6.0,7709057,7677607,28916,2534,yes,True,21,True,22,74,Confident
NT_033777.3_37396,0.2752329726308346,0.5780607568882018,-19.8,1,4,105544.9,53.0,6.0,207014,202446,4,4564,yes,True,22,True,19,65,Confident
NT_033777.3_37397,0.012627244293704,0.0778753615746172,-16.6,1,2,720916.1,53.0,6.0,1414039,1413001,0,1038,yes,True,21,True,22,57,Confident
NT_033777.3_37706,0.0639407853129097,0.5032583344871068,-22.3,0,0,4.7,55.0,6.0,382,346,0,36,yes,True,21,False,21,55,Confident
NT_033777.3_37815,0.016128076519307,0.4234999052422898,-29.1,2,2,121730.4,53.0,6.0,238760,238531,0,229,yes,True,21,True,23,60,Confident
NT_033777.3_37901,0.0294882885184399,0.0235111279472776,-22.8,0,1,5.0,54.0,6.0,95223,94077,0,1146,yes,True,22,True,20,69,Confident
NT_033777.3_38029,0.0263684289101193,0.0152961685381906,-18.3,0,1,0.8,53.0,5.0,25260,24546,0,714,no,True,20,True,22,54,Confident
NT_033777.3_38065,0.0217143913766995,0.0130035115552201,-20.2,2,2,155342.2,53.0,6.0,304689,292957,1,11731,yes,True,22,True,22,60,Confident
NT_033777.3_38067,0.0383957342713869,0.0443847607460826,-21.2,2,2,123715.9,53.0,6.0,242656,241140,0,1516,yes,True,22,False,23,63,Confident
NT_033777.3_38171,0.0178180607007418,0.4641719128004085,-20.5,0,5,4.8,55.0,6.0,1027072,1025975,34,1063,yes,True,20,True,25,65,Confident
NT_033777.3_38173,0.0187490254082687,0.4011761054790034,-25.2,1,2,771198.2,53.0,6.0,1512664,1488120,316,24228,yes,True,22,True,23,65,Confident
NT_033777.3_41709,0.0402220122165385,0.0134638826480359,-24.8,2,1,1155806.8,53.0,6.0,2267058,1565329,19,701710,yes,True,22,True,23,63,Confident
NT_033777.3_42049,0.0425384934801638,0.2410983226053293,-24.5,1,0,4.7,55.0,6.0,2374353,2371093,2398,862,yes,True,20,False,21,66,Confident
NT_033777.3_42120,0.0349715749130433,0.0702722798582499,-19.1,3,2,1802565.8,53.0,6.0,3535650,3535213,0,437,yes,True,23,True,25,60,Confident
NT_033777.3_42122,0.0388838137251199,0.4246439126286377,-17.8,2,1,229591.0,53.0,6.0,450325,450066,1,258,yes,True,22,True,21,61,Confident
NT_033777.3_42145,0.0917227706018052,0.3645104070463734,-22.5,3,1,1623.9,53.0,6.0,3177,3176,0,1,yes,True,19,True,21,62,Confident
NT_033777.3_42308,0.0124232906807551,0.1012846050535404,-23.6,1,0,295054.9,53.0,6.0,578729,577775,0,954,yes,True,21,False,22,60,Confident
NT_033777.3_42310,0.1073446314221639,0.0481297752655688,-21.7,2,2,70804.1,53.0,6.0,138871,135480,0,3391,yes,True,22,True,22,60,Confident
NT_033777.3_42469,0.0072048474701249,0.4014497373529842,-24.3,1,1,441598.0,53.0,6.0,866167,865924,8,235,yes,True,21,True,21,66,Confident
