provisional_id,normalized_entropy,normalized_entropy_s,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1055,0.4991798359000072,,-28.0,2,2,0.0,42.0,2.0,82,82,0,0,no,False,22,True,23,52,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1068,0.0,0.0,-15.2,3,3,5.8,87.0,2.0,27,23,0,4,no,False,22,False,23,67,falsepositive
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1116,0.0416731210184735,,-35.6,2,2,0.4,42.0,2.0,3101,3101,0,0,no,False,21,True,21,57,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1118,0.0,,-38.1,2,2,0.3,42.0,2.0,2751,2751,0,0,no,False,21,True,21,57,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1145,0.0,,-40.0,2,2,0.5,42.0,2.0,18,18,0,0,no,False,22,True,22,55,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1194,0.0,0.0,-23.0,6,6,0.0,42.0,2.0,67,58,0,9,no,False,22,True,22,64,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1250,0.0,,-34.6,1,2,0.6,42.0,2.0,45,45,0,0,no,False,21,True,20,61,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1256,0.0,,-32.1,2,2,0.5,42.0,2.0,56,56,0,0,no,False,22,True,22,62,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1331,0.3714220587586456,,-26.9,2,2,0.1,42.0,2.0,98,98,0,0,no,False,23,False,23,59,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1354,0.3416896024844095,0.0,-24.9,1,2,5849.2,87.0,2.0,11475,11374,0,101,no,False,23,True,22,62,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1381,0.2027196652375139,0.0,-23.7,2,3,125.2,87.0,2.0,248,221,0,27,no,False,22,True,23,61,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_139,0.0,,-29.8,2,1,0.3,42.0,2.0,31,31,0,0,no,False,23,True,22,80,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1507,0.0322343656402774,0.6849150105005635,-24.2,2,1,20506.9,87.0,2.0,40225,40046,0,179,no,False,22,False,21,59,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1511,0.0723359465977955,0.0,-25.1,3,4,808.7,87.0,2.0,1588,1487,0,101,no,False,22,False,24,65,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1577,0.0225628367850078,0.4220005165946141,-23.5,2,2,54050.0,87.0,2.0,106021,105951,0,70,no,False,22,True,23,63,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1684,0.0,,-42.9,2,2,0.5,42.0,2.0,28,28,0,0,no,False,22,False,22,62,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_195,0.9173030467109574,,-36.8,2,2,0.5,42.0,2.0,129,129,0,0,no,False,22,False,22,49,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1955,0.1000009427217844,,-31.3,2,2,0.4,42.0,2.0,154,154,0,0,no,False,21,True,21,53,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_1969,0.0478388517114408,,-38.8,2,2,0.7,42.0,2.0,39144,39144,0,0,no,False,22,True,22,54,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_2163,0.7240394548905063,,-26.4,2,2,0.2,42.0,2.0,189,189,0,0,no,False,19,True,19,63,falsepositive
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_225,0.0,,-18.1,2,2,0.1,42.0,2.0,69,69,0,0,no,False,22,True,22,59,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_233,0.2001470936702983,0.6567900970339958,-24.2,2,3,3286.4,87.0,2.0,6449,6298,0,151,no,False,23,False,25,63,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_2443,0.3607857700502497,,-35.1,2,2,0.7,42.0,2.0,31375,31375,0,0,no,False,21,True,21,56,falsepositive
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_2578,0.1708968540195898,0.0,-5.5,1,2,971.4,87.0,2.0,1976,1949,0,27,no,False,20,True,18,76,falsepositive
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_2611,0.2919122547420254,0.5032583344871068,-29.3,6,2,0.5,42.0,2.0,2860,2852,0,8,no,False,22,True,18,55,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_2623,0.5500796595799943,0.7205826698774369,-43.1,5,4,0.9,42.0,2.0,6883,6679,0,204,no,False,23,False,22,62,falsepositive
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_2922,0.8346482848928438,0.5746356975491403,-43.9,3,2,36.0,87.0,2.0,71,49,0,22,no,False,22,True,21,61,falsepositive
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_2985,0.0,0.0,-35.4,1,3,83.5,87.0,2.0,165,129,0,36,no,False,22,True,20,56,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3134,0.8275751037501173,,-34.9,2,2,0.0,42.0,2.0,40,40,0,0,no,False,22,False,22,55,falsepositive
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3222,0.9173030467109574,,-36.8,2,2,0.4,42.0,2.0,129,129,0,0,no,False,22,False,22,49,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3244,0.1546957968590384,0.0,-19.0,2,1,393.1,87.0,2.0,773,763,0,10,no,False,22,True,21,59,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3340,0.3398550779336052,,-73.7,2,2,1.1,81.0,2.0,95,95,0,0,no,False,22,False,22,90,falsepositive
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3357,0.4405981927839575,0.9733610442969118,-19.9,5,2,157.6,87.0,2.0,313,274,0,39,no,False,22,False,25,74,falsepositive
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_341,0.1865268922298112,0.7739086901165367,-22.5,2,2,4385.6,87.0,2.0,8604,8318,0,286,no,False,22,True,22,57,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3457,0.4820661477945541,0.0,-25.6,3,3,36.2,87.0,2.0,73,48,0,25,no,False,22,False,22,57,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_346,0.4544189615700293,,-81.2,2,2,1.4,81.0,2.0,220,220,0,0,no,False,22,True,22,90,falsepositive
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3469,0.7877009891751338,0.0,-16.3,0,2,98.1,87.0,2.0,196,174,0,22,no,False,22,True,20,57,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3472,0.0130690570953656,0.0,-27.9,3,3,1342.9,87.0,2.0,2637,2567,0,70,no,False,23,True,22,82,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3473,0.8054848384520567,0.0,-24.2,1,2,106.9,87.0,2.0,212,138,0,74,no,False,22,True,21,59,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3476,0.0,0.9999999997114608,-19.2,5,5,0.0,42.0,2.0,155,72,0,83,no,False,22,False,24,61,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3637,0.85183537785373,,-39.0,2,2,0.2,42.0,2.0,165,165,0,0,no,False,22,True,22,57,falsepositive
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3650,0.5383644676252164,0.9575534834262092,-25.4,2,2,825.9,87.0,2.0,1623,1594,0,29,no,False,22,True,22,61,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3762,0.8135237958573219,0.0,-22.6,0,1,0.0,42.0,2.0,330,329,0,1,no,False,21,True,22,56,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3791,0.0678711449257275,0.0,-23.1,3,2,573.3,87.0,2.0,1125,1112,0,13,no,False,21,False,22,65,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3794,0.8431619566632986,0.0,-14.1,2,2,30.2,87.0,2.0,66,59,0,7,no,False,23,True,23,61,falsepositive
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3804,0.0,0.0,-29.3,1,3,20.3,87.0,2.0,41,33,0,8,no,False,22,False,18,60,falsepositive
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3816,0.0,0.4574321806103005,-28.4,2,2,197.0,87.0,2.0,387,312,0,75,no,False,22,True,22,56,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3841,0.6401880565658722,0.8648682233712118,-8.2,7,3,1197.7,87.0,2.0,2362,2337,13,12,no,False,23,False,23,64,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3895,0.3441169048540508,0.8739810478388188,-27.5,3,2,132.7,87.0,2.0,261,249,0,12,no,False,22,True,23,60,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_3920,0.3262588143409536,0.0,-35.5,2,3,36.5,87.0,2.0,73,67,0,6,no,False,21,True,22,60,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4,0.7018312478178957,,-39.0,2,2,0.6,42.0,2.0,310,310,0,0,no,False,22,False,22,73,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4010,0.7382848658549115,,-46.1,2,2,0.6,42.0,2.0,72,72,0,0,no,False,23,True,23,50,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4051,0.9977724718014428,,-18.7,2,0,0.1,42.0,2.0,36,36,0,0,no,False,18,False,18,45,falsepositive
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_416,0.0,,-23.0,2,2,0.1,42.0,2.0,40,40,0,0,no,False,22,True,20,60,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4196,0.174846736959091,0.8620485695919736,-20.2,3,3,100.7,87.0,2.0,200,191,0,9,no,False,22,True,22,59,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4203,0.0389440657058173,0.0,-15.8,2,3,139.7,87.0,2.0,279,240,0,39,no,False,23,False,22,62,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4258,0.5669268533857911,0.627140618480983,-13.7,2,3,273.3,87.0,2.0,539,260,0,279,no,False,22,True,23,63,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4260,0.2556347146976675,0.0,-17.8,2,2,118.3,87.0,2.0,236,163,0,73,no,False,22,False,23,65,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4342,0.9318460709236548,0.9755073884780474,-38.8,1,1,258.8,87.0,2.0,508,446,0,62,no,False,22,False,22,60,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4400,0.1201862735795889,0.0,-22.7,2,2,382.9,87.0,2.0,753,687,0,66,no,False,23,True,23,59,Confident
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4428,0.0,0.5349436988085676,-18.6,1,3,42.7,87.0,2.0,86,41,0,45,no,False,21,True,23,57,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4521,0.0,0.0,-27.2,3,3,609.6,87.0,2.0,1197,1190,0,7,no,False,22,True,22,62,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4646,0.9182958337659504,0.0,-21.5,2,2,34.0,87.0,2.0,74,48,0,26,no,False,21,False,22,85,falsepositive
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4747,0.083424258622957,,-31.3,2,3,0.3,42.0,2.0,577,577,0,0,no,False,23,True,22,62,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4750,0.971627855649182,,-31.5,2,2,0.6,42.0,2.0,67,67,0,0,no,False,23,True,23,62,Candidate
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_479,0.0,0.7268237168527644,-26.1,3,2,100.6,87.0,2.0,200,92,0,108,no,False,22,True,21,72,falsepositive
GWHACBE00000001_Chromosome_1_Complete=T_Circular=F_OriSeqID=Chr01_Len=159027471_4839,0.2111171565527517,0.7028813918610296,-28.0,1,1,977.5,87.0,2.0,1921,1759,11,151,no,False,21,False,20,68,Candidate
