provisional_id,five_prime_process_signal_selected_row_count_sum_over_mature_count_sum,num_locis,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
NW_024010826.1_1921,0.954184958,486,-25.3,0,2,246924.4,96,2,484330,479223,0,5107,yes,False,23,False,21,57,Confident
NW_024011342.1_26317,0.962789707,263,-21.3,2,1,172305.8,96,2,337969,326818,0,11151,yes,False,23,True,22,62,Confident
NW_024010830.1_2233,0.987768741,293,-21.6,1,3,164475.8,96,2,322612,322589,0,23,yes,False,22,True,24,60,Confident
NW_024011347.1_33620,0.9821984106946472,367,-32.2,2,1,119083.3,96,2,233575,230451,3,3121,yes,False,22,True,21,69,Confident
NW_024010871.1_6044,0.984426198,278,-25.8,2,2,91958.8,96,2,180371,180367,0,4,yes,False,23,False,22,59,Confident
NW_024011345.1_29470,0.7994481012347044,315,-23.8,1,0,84627.5,96,2,165992,162687,0,3305,yes,False,22,True,23,59,Confident
NW_024011264.1_16591,0.925050693,200,-23.2,3,2,53781.9,96,2,105498,104057,11,1430,no,False,23,True,23,61,Confident
NW_024010826.1_1635,0.998322483,188,-21.1,2,2,38293.7,96,2,75110,75081,0,29,yes,False,22,True,23,59,Confident
NW_024011347.1_32398,0.9977254418803014,197,-21.4,2,3,32319.9,96,2,63393,63305,0,88,yes,False,23,False,22,61,Confident
NW_024011344.1_28386,0.9934075325045272,177,-26.3,2,2,25254.9,96,2,49534,49147,0,387,yes,False,22,True,22,60,Confident
NW_024010830.1_2764,0.9972227199426626,84,-26.5,2,2,22762.2,96,2,44646,44597,0,49,yes,False,22,True,22,55,Candidate
NW_024011269.1_17804,0.9989639691493036,102,-23.7,2,3,13343.1,96,2,26171,26061,0,110,yes,False,23,True,22,60,Confident
NW_024010847.1_3929,0.9980795855477648,74,-27.9,2,1,11415.2,96,2,22389,22373,0,16,yes,False,23,True,21,59,Candidate
NW_024010942.1_10912,0.9791381842118588,87,-20.8,2,2,10069.3,96,2,19749,19538,0,211,yes,False,22,True,24,56,Confident
NW_024011295.1_22292,0.6336,203,-31.4,1,2,9807.4,96,2,19235,14896,0,4339,yes,False,24,False,21,55,Confident
NW_024011344.1_28388,0.9903735078937236,106,-23.2,2,6,6639.5,96,2,13022,12985,0,37,yes,False,21,False,18,53,Candidate
NW_024010898.1_7305,0.9768491433347264,88,-15.9,2,3,6100.7,96,2,11965,11737,0,228,yes,False,22,False,23,60,Confident
