provisional_id,five_prime_process_signal_selected_row_count_sum_over_mature_count_sum,num_locis,Folding Energy,3' Overhang Bot,3' Overhang Top,Accepted Overhang?,miRDeep2_score,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
NC_003074.8_25432,0.9718149672513032,698,-26.9,1,2,True,388192.8,761415,758367,11,3037,yes,True,19,True,20,62,Confident
NC_003076.8_41625,0.9973556055473672,349,-34.6,2,2,True,295745.8,580085,580058,0,27,yes,True,21,True,21,88,Confident
NC_003076.8_40575,0.9979491159982752,338,-33.2,2,1,True,295567.5,579735,579656,3,76,yes,True,21,True,21,89,Confident
NC_003071.7_15733,0.5352241485403952,828,-32.3,1,1,True,90113.5,176746,136604,7,40135,yes,True,21,False,21,88,Confident
NC_003071.7_19452,0.9966400467471755,440,-40.1,1,2,True,71761.5,140748,123200,1,17547,yes,True,20,True,19,81,Confident
NC_003075.7_33129,0.9966826803942416,434,-45.4,2,1,True,70588.2,138446,125087,8,13351,yes,True,20,True,23,82,Confident
NC_003075.7_36692,0.9966400467471755,426,-40.3,1,2,True,68755.0,134851,123200,2,11649,yes,True,20,True,19,82,Confident
NC_003076.8_41956,0.9541300276062312,533,-35.4,1,2,True,67728.7,132838,128560,9,4269,yes,True,21,True,22,84,Confident
NC_003076.8_42370,0.939647890454808,568,-33.6,1,2,True,67599.0,132584,128531,0,4053,yes,True,21,True,22,87,Confident
NC_003076.8_42013,0.9765566600397614,287,-45.2,1,1,True,64182.8,125883,125744,0,139,yes,True,20,True,20,87,Confident
NC_003076.8_37813,0.997765717164167,258,-45.6,2,1,True,62994.7,123552,123072,0,480,yes,True,20,True,21,92,Confident
NC_003074.8_29478,0.973556785310024,140,-23.6,2,0,False,16218.6,31804,31798,3,3,yes,True,21,True,19,73,Confident
NC_003076.8_45467,0.97390400997299,365,-39.3,2,3,True,13251.3,25983,24009,10,1964,yes,True,22,True,21,91,Confident
NC_003071.7_11387,0.9832558139534884,213,-30.7,1,1,True,11993.8,23517,23497,0,20,yes,True,20,True,20,82,Confident
NC_003076.8_46289,0.9959424732879492,149,-21.9,2,2,True,11376.0,22305,22178,1,126,yes,True,21,True,21,62,Confident
NC_003075.7_36482,0.9566230308409142,118,-28.3,2,2,True,9193.1,18023,17385,0,638,yes,True,21,False,21,59,Confident
NC_003071.7_15464,0.945186824410588,255,-39.1,1,2,True,6798.7,13326,11639,1,1686,yes,True,21,False,20,72,Confident
NC_003070.9_4347,0.4326154914901007,236,-26.2,1,1,True,5854.1,11481,11305,0,176,yes,False,20,True,20,62,Confident
NC_003070.9_1925,0.97593984962406,161,-29.5,2,1,True,5068.7,9941,9914,6,21,yes,False,22,True,20,81,Confident
NC_003076.8_45607,0.617167692864904,196,-45.8,2,2,True,3101.9,6075,5347,21,707,yes,True,20,True,20,83,Confident
NC_003071.7_15476,0.634452231648838,159,-43.2,1,1,True,2877.0,5634,5377,51,206,yes,True,20,True,20,80,Confident
NC_003075.7_32592,0.7726139197460893,147,-34.4,2,0,False,2474.5,4845,4233,0,612,yes,True,20,True,22,83,Confident
NC_003071.7_15744,0.9953135460834636,84,-27.8,2,1,True,2310.7,4524,4481,0,43,yes,True,20,True,21,80,Confident
NC_003075.7_36404,0.9629874421678783,112,-43.6,2,2,True,1537.1,3006,3001,0,5,yes,True,21,True,21,85,Confident
NC_003070.9_9718,0.9626693095474068,113,-37.3,2,2,True,1536.1,3004,3001,0,3,yes,True,21,True,21,78,Confident
NC_003070.9_997,0.7381123919308358,99,-32.9,2,2,True,1412.6,2762,2087,0,675,yes,True,21,False,21,78,Confident
NC_003070.9_999,0.7386445565969719,98,-34.8,2,2,True,1412.6,2762,2087,0,675,yes,True,21,False,21,78,Confident
NC_003070.9_5842,0.7877320419693301,60,-35.3,2,2,True,634.1,1235,979,0,256,yes,True,21,True,21,84,Confident
NC_003070.9_10264,0.7947882736156352,68,-45.7,2,2,True,593.0,1154,979,6,169,yes,True,21,True,21,83,Confident
NC_003070.9_1457,0.852803738317757,62,-30.1,2,0,False,437.1,856,778,0,78,yes,False,23,True,21,76,Confident
NC_003074.8_25514,0.7933333333333333,66,-35.7,2,2,True,430.9,844,738,0,106,yes,False,21,True,21,87,Confident
NC_003071.7_14975,0.8580402010050251,52,-27.8,2,2,True,398.3,780,762,0,18,yes,False,21,True,22,82,Confident
NC_003071.7_14682,0.9748520710059172,62,-34.6,2,3,True,392.7,769,661,0,108,yes,False,22,True,21,83,Confident
NC_003071.7_19057,0.6621067031463749,46,-44.2,2,1,True,378.9,734,731,1,2,yes,True,20,False,21,85,Confident
NC_003070.9_10720,0.635343618513324,73,-34.3,2,2,True,361.8,701,497,0,204,yes,True,21,False,21,73,Confident
NC_003070.9_6584,0.6231086657496562,76,-32.2,2,2,True,361.7,700,496,0,204,yes,True,21,False,21,71,Confident
NC_003076.8_41854,0.6520979020979021,48,-34.7,2,1,True,295.6,572,401,0,171,yes,True,21,True,20,87,Confident
NC_003070.9_10718,0.9096385542168676,50,-35.3,2,2,True,257.3,496,492,0,4,yes,True,21,False,21,78,Confident
NC_003071.7_14471,0.9796380090497736,35,-23.1,2,1,True,225.7,442,441,0,1,yes,False,21,True,20,81,Confident
NC_003074.8_24308,0.9142091152815014,50,-29.9,1,2,True,204.0,399,345,0,54,yes,False,21,True,20,79,Confident
NC_003070.9_642,0.9878542510121456,35,-38.7,2,1,True,176.2,337,245,0,92,yes,True,20,True,21,85,Confident
