provisional_id,normalized_entropy,normalized_entropy_s,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_1304,0.2713859489952261,0.6337574299350397,-19.9,2,3,1055.4,90.0,3.0,2072,2008,0,64,no,False,22,True,24,57,Confident
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_1306,0.0501085245726858,0.6398640147752863,-28.1,1,1,197.1,90.0,3.0,388,348,0,40,no,False,22,False,22,58,Confident
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_1310,0.0286763583860971,0.6398640147752863,-20.9,1,1,15933.0,90.0,3.0,31254,31214,0,40,no,False,22,False,22,58,Confident
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_1314,0.0286763583860971,0.6398640147752863,-20.9,1,1,15933.0,90.0,3.0,31254,31214,0,40,no,False,22,False,22,58,Confident
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_1324,0.1657491806476209,0.6060073459215006,-31.1,2,1,106.5,90.0,3.0,210,185,0,25,no,False,22,True,22,54,Confident
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_1326,0.0291166807916148,0.999999999726928,-12.9,3,4,-1.1,51.0,5.0,340,338,0,2,no,False,22,True,26,60,Confident
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_753,0.3003197197842778,0.0209330567994427,-21.9,3,3,2599.2,90.0,3.0,5102,4173,0,929,no,False,22,True,22,60,Confident
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_755,0.0272529892918377,0.8506318675780696,-19.8,3,2,400.5,90.0,3.0,781,770,0,11,no,True,23,True,22,57,Confident
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_757,0.0535513777907378,0.0308360460151689,-21.9,3,1,762.6,90.0,3.0,1490,1288,0,202,no,True,24,True,22,57,Confident
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_759,0.3992709082562068,0.0445806460442655,-26.6,2,0,2064.9,90.0,3.0,4044,3138,0,906,no,True,24,True,22,58,Confident
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_761,0.0152328056981995,0.10803248168827,-24.1,2,2,42016.0,90.0,3.0,82407,82038,0,369,no,True,23,True,24,60,Confident
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_847,0.6581697651992364,0.1923674282738492,-20.1,1,0,87.8,90.0,3.0,175,67,0,108,no,False,23,True,22,56,Confident
NC_049710.1Spodoptera_frugiperda_isolate_Faw-zju_chromosome_1_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_873,0.0032861685450713,0.0386389929930703,-26.3,2,3,106998.3,90.0,3.0,209867,172843,0,37024,no,True,22,True,23,58,Confident
NC_049712.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_3_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_5096,0.0,0.0,-24.6,2,4,15.8,90.0,3.0,26,21,0,5,no,True,22,True,24,58,Confident
NC_049713.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_4_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_6088,0.2113520989101641,0.433662262433753,-22.8,0,5,-1.9,51.0,5.0,6008,6007,0,1,no,False,22,False,18,63,Confident
NC_049713.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_4_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_6132,0.2113520989101641,0.433662262433753,-22.8,0,5,-2.0,51.0,5.0,6008,6007,0,1,no,False,22,False,18,63,Confident
NC_049713.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_4_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_6900,0.0141889144774332,0.0505531818866508,-25.7,2,2,42553.7,90.0,3.0,83461,82357,0,1104,no,True,22,True,24,57,Confident
NC_049713.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_4_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_7047,0.1751316663014112,0.5032583344871068,-21.2,2,1,2643.0,90.0,3.0,5178,5169,0,9,no,True,22,False,22,58,Confident
NC_049714.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_5_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_7996,0.0,0.9967916316930976,-18.8,5,4,0.0,73.0,4.0,39,24,0,15,no,False,22,True,21,61,Confident
NC_049714.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_5_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_7998,0.2115194078298275,,-26.1,2,1,3.7,89.0,4.0,239,239,0,0,no,True,21,True,21,58,Confident
NC_049717.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_8_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_11881,0.1292779958932275,0.8231761284891154,-21.1,2,2,283.9,90.0,3.0,558,553,0,5,no,False,22,True,22,53,Confident
NC_049717.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_8_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_12993,0.2607230690061065,0.0,-17.4,0,2,38.6,90.0,3.0,74,61,0,13,no,True,24,True,21,58,Confident
NC_049718.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_9_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_13249,0.0284180657700934,0.5294978434438339,-18.0,2,0,16566.0,90.0,3.0,32493,32427,1,65,no,True,23,True,22,60,Confident
NC_049719.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_10_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_15122,0.0486053132006813,0.3203180595377837,-19.8,2,2,5359.2,90.0,3.0,10514,9743,0,771,no,False,21,True,21,56,Confident
NC_049719.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_10_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_15128,0.0748055886040804,0.3203180595377837,-19.8,2,2,5390.6,90.0,3.0,10577,9806,0,771,no,False,21,True,21,56,Confident
NC_049721.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_12_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_17253,0.0899902891919948,0.6500224213598151,-27.6,2,2,422.4,90.0,3.0,823,811,6,6,no,True,23,True,23,68,Confident
NC_049721.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_12_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_17685,0.1636410788137671,0.6445680918203083,-22.6,2,5,18937.8,90.0,3.0,37147,37136,0,11,no,False,22,False,22,60,Confident
NC_049721.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_12_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_18380,0.0353586334848769,0.5024472074718126,-21.9,2,1,261.3,90.0,3.0,507,269,0,238,no,True,23,True,22,62,Confident
NC_049722.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_13_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_19193,0.282132391852897,0.1158907390756355,-23.8,1,0,263236.4,90.0,3.0,516322,502609,0,13713,no,True,22,True,23,59,Confident
NC_049723.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_14_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_20397,0.2435015712173719,0.3982525547206789,-25.2,3,2,21287.1,90.0,3.0,41748,40472,0,1276,no,True,23,True,23,59,Confident
NC_049723.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_14_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_20411,0.2435015712173719,0.3982525547206789,-25.2,3,2,21287.1,90.0,3.0,41748,40472,0,1276,no,True,23,True,23,59,Confident
NC_049723.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_14_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_20421,0.2435015712173719,0.3982525547206789,-25.2,3,2,21287.1,90.0,3.0,41748,40472,0,1276,no,True,23,True,23,59,Confident
NC_049724.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_15_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_23238,0.5276095444385882,0.2015937414127541,-20.5,2,2,392.9,90.0,3.0,773,519,0,254,no,False,22,False,23,62,Confident
NC_049724.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_15_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_23246,0.5276095444385882,0.2015937414127541,-20.5,2,2,392.9,90.0,3.0,773,519,0,254,no,False,22,False,23,62,Confident
NC_049726.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_17_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_25589,0.022026345385483,,-10.5,2,1,-8.0,32.0,5.0,13263,13263,0,0,no,True,23,True,21,72,Confident
NC_049726.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_17_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_25590,0.022026345385483,0.2673158692392866,-24.7,2,3,6948.3,90.0,3.0,13624,13263,23,338,no,True,23,True,22,63,Confident
NC_049726.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_17_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_25636,0.0,0.0,-29.1,2,3,0.2,73.0,4.0,36,36,0,0,no,False,21,False,20,58,Confident
NC_049726.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_17_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_26143,0.0,0.0,-29.1,2,3,0.1,73.0,4.0,36,36,0,0,no,False,21,False,20,58,Confident
NC_049727.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_18_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_26736,0.0207851513618134,0.1100679006104734,-36.9,3,2,519839.7,90.0,3.0,1019638,1016445,133,3060,no,True,23,True,22,80,Confident
NC_049727.1_Spodoptera_frugiperda_isolate_Faw-zju_chromosome_18_ZJU_Sfru_1.0_whole_genome_shotgun_sequence_27139,0.0091520392179216,0.1278289583854927,-25.5,2,2,1093.8,90.0,3.0,2147,2038,0,109,no,False,21,False,21,56,Confident
