provisional_id,normalized_entropy,normalized_entropy_s,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
chr10_2393,0.0,,-29.1,2,2,5.7,80.0,8.0,218,218,0,0,yes,True,22,False,22,57,Confident
chr10_2602,0.0,,-23.8,1,1,5.4,80.0,8.0,9168,9168,0,0,yes,True,24,True,22,59,Confident
chr10_2816,0.0,,-15.8,2,2,0.4,0.0,0.0,11,11,0,0,yes,False,19,True,21,55,Confident
chr10_2873,0.0,,-30.7,2,1,5.6,80.0,8.0,167,167,0,0,yes,True,24,True,24,65,Confident
chr10_2884,0.0,,-24.7,1,2,1.7,59.0,2.0,120,120,0,0,yes,False,22,False,24,60,Confident
chr10_2968,0.021965134546998,,-21.9,2,2,4.7,24.0,13.0,16439,16439,0,0,yes,True,23,False,25,62,Confident
chr10_3007,0.0,,-22.3,2,2,1.6,59.0,2.0,3460,3460,0,0,yes,False,23,True,23,61,Confident
chr10_3030,0.999973070305666,0.0,-24.1,2,1,1523.9,77.0,11.0,2988,2946,0,42,no,True,23,False,21,62,Confident
chr10_3139,0.8386398712130132,,-32.5,2,2,2.3,26.0,5.0,97,97,0,0,yes,False,22,True,23,63,Confident
chr11_3297,0.0,,-38.5,2,3,5.8,80.0,8.0,77,77,0,0,yes,True,22,False,22,59,Confident
chr11_3347,0.110127395579678,,-23.7,2,2,5.4,80.0,8.0,47638,47638,0,0,yes,True,22,True,22,62,Confident
chr11_3631,0.0,0.0,-23.9,2,3,56.4,77.0,11.0,102,79,0,23,yes,True,22,False,23,59,Confident
chr11_3634,0.2422921887938758,,-21.3,2,2,4.7,24.0,13.0,336,336,0,0,yes,True,23,False,22,55,Confident
chr11_3750,0.2165643793836139,0.0,-24.5,2,1,12152.6,77.0,11.0,23827,23756,0,71,yes,True,22,False,22,60,Confident
chr11_3775,0.1243267756530856,0.2601453636591752,-29.1,2,3,3353.4,77.0,11.0,6575,6211,0,364,yes,False,22,True,22,57,Confident
chr11_3820,0.647914397599627,0.5862130332731426,-30.4,2,2,10279.4,77.0,11.0,20153,16586,0,3567,yes,True,22,True,22,63,Confident
chr11_4031,0.0,,-31.6,2,2,1.9,59.0,2.0,3390,3390,0,0,no,True,21,False,21,58,Confident
chr11_4129,0.6074160260892911,,-29.6,2,1,5.0,80.0,8.0,1010,1010,0,0,yes,True,21,False,22,65,Confident
chr11_4187,0.011765763825836,0.0,-32.3,2,2,6465.4,77.0,11.0,12672,12548,0,124,yes,True,23,True,23,59,Confident
chr11_4230,0.0,,-32.3,2,2,5.7,80.0,8.0,81,81,0,0,yes,True,21,False,25,62,Confident
chr11_4249,0.0,0.0,-23.0,0,2,923.9,77.0,11.0,1803,1706,0,97,yes,True,23,False,21,67,Confident
chr11_4395,0.025302994385607,0.3323125332190021,-25.6,2,2,213563.1,77.0,11.0,418886,415783,0,3103,yes,True,22,True,21,61,Confident
chr11_4397,0.0120177797282807,0.0,-22.5,2,2,348626.8,77.0,11.0,683808,682836,707,265,yes,True,22,True,22,67,Confident
chr11_4399,0.0145189604463379,0.0,-18.4,2,2,1271287.1,77.0,11.0,2493567,2492776,0,791,yes,True,22,False,22,57,Confident
chr11_KI270721v1_random_4467,0.1243267756530856,0.2601453636591752,-29.1,2,3,3353.4,77.0,11.0,6575,6211,0,364,yes,False,22,True,22,57,Confident
chr11_KI270832v1_alt_21768,0.2165643793836139,0.0,-24.5,2,1,12152.6,77.0,11.0,23827,23756,0,71,yes,True,22,False,22,60,Confident
chr12_4573,0.0,,-27.8,2,1,5.8,80.0,8.0,1101,1101,0,0,yes,True,23,True,22,62,Confident
chr12_4575,0.0,,-22.0,2,2,5.5,80.0,8.0,166,166,0,0,yes,True,21,True,20,61,Confident
chr12_4746,0.0,,-28.1,2,2,5.5,80.0,8.0,93,93,0,0,yes,True,21,True,21,59,Confident
chr12_4747,0.0,,-26.6,2,2,5.7,80.0,8.0,110,110,0,0,yes,True,19,True,19,59,Confident
chr12_4749,0.0016403540960705,0.0,-18.3,2,3,4546.9,77.0,11.0,8911,8875,0,36,yes,True,22,True,23,61,Confident
chr12_4802,0.0083170735422761,0.9860400315519045,-36.3,2,1,59998.4,77.0,11.0,117675,117603,0,72,yes,True,22,True,23,78,Confident
chr12_4893,0.0,0.9728930733356894,-25.5,2,1,2624.6,77.0,11.0,5139,4804,0,335,yes,True,21,False,23,56,Confident
chr12_4896,0.0,,-24.4,2,2,4.5,24.0,13.0,106,106,0,0,yes,True,23,True,22,60,Confident
chr12_5259,0.0,0.0,-34.3,2,3,22.6,77.0,11.0,35,27,0,8,yes,True,24,False,23,62,Confident
chr12_5260,0.0,,-23.9,2,2,4.7,24.0,13.0,27,27,0,0,yes,True,24,False,24,75,Confident
chr12_5273,0.0124986977039691,0.0,-24.7,2,2,179371.9,77.0,11.0,351821,351673,0,148,yes,True,22,True,22,60,Confident
chr13_5579,0.0,,-29.7,4,2,5.3,80.0,8.0,17,17,0,0,yes,True,23,True,23,62,Confident
chr13_5726,0.1737422746249357,0.5328350627456844,-22.9,1,3,8163.9,77.0,11.0,16005,15147,0,858,yes,True,23,False,21,58,Confident
chr13_5728,0.0662360172846527,0.0,-19.0,3,3,1565.9,77.0,11.0,3066,3030,0,36,yes,True,23,True,23,64,Confident
chr13_5729,0.0,,-18.4,2,0,5.1,80.0,8.0,44,44,0,0,yes,True,21,True,19,54,Confident
chr13_5732,0.0,0.9813387355422524,-26.5,3,2,1883.3,77.0,11.0,3685,3604,0,81,yes,True,23,True,23,59,Confident
chr13_5733,0.0,0.0,-23.1,0,0,5.1,80.0,8.0,417,348,0,69,yes,True,21,True,22,59,Confident
chr13_5735,0.069619270034331,0.0,-31.0,2,3,10370.8,77.0,11.0,20333,20083,0,250,yes,True,22,True,23,59,Confident
chr13_5912,0.0,0.0,-18.7,2,2,89.3,77.0,11.0,175,126,0,49,yes,False,22,True,22,59,Confident
chr13_5913,0.0084608361344157,,-24.4,2,1,5.0,80.0,8.0,373713,373713,0,0,yes,True,22,True,23,65,Confident
chr13_5915,0.0,,-24.8,2,2,4.2,24.0,13.0,723,723,0,0,yes,True,21,True,21,59,Confident
chr14_6337,0.2604669768716471,0.8674443581181472,-23.3,1,4,18062.2,77.0,11.0,35419,35034,0,385,yes,True,24,True,27,66,Confident
chr14_6346,0.0,,-28.1,2,2,5.6,80.0,8.0,1760,1760,0,0,yes,True,22,False,22,58,Confident
chr14_6350,0.0,,-37.7,2,2,5.7,80.0,8.0,90,90,0,0,yes,True,25,True,22,62,Confident
chr14_6352,0.0,0.0,-24.4,2,2,225.5,77.0,11.0,433,361,0,72,yes,True,22,True,22,63,Confident
chr14_6353,0.7413771206611528,0.685750764255385,-24.8,3,2,155.4,77.0,11.0,296,181,0,115,yes,True,21,True,20,60,Confident
chr14_6355,0.0,,-21.3,2,1,1.6,59.0,2.0,149,149,0,0,no,True,21,True,18,64,Confident
chr14_6357,0.0558881833003273,0.0,-28.7,0,2,5.2,80.0,8.0,5959,5932,0,27,yes,True,22,True,24,58,Confident
chr14_6360,0.0,,-27.2,2,2,5.5,80.0,8.0,189,189,0,0,yes,True,23,True,22,69,Confident
chr14_6363,0.0,,-20.8,2,0,5.2,80.0,8.0,24,24,0,0,yes,True,22,True,22,57,Confident
chr14_6370,0.0,0.0,-21.7,2,2,67.8,77.0,11.0,125,73,0,52,yes,True,21,True,21,59,Confident
chr14_6372,0.9951876660033536,0.0,-20.3,2,2,210.5,77.0,11.0,413,294,0,119,no,True,21,True,21,56,Confident
chr14_6374,0.981240136995467,,-36.5,2,2,1.9,59.0,2.0,313,313,0,0,yes,False,23,False,23,57,Confident
chr14_6375,0.0,,-20.2,1,2,4.4,24.0,13.0,81,81,0,0,yes,True,21,True,22,57,Confident
chr14_6377,0.9783316912019342,,-22.3,2,2,5.2,80.0,8.0,885,885,0,0,yes,True,21,True,21,56,Confident
chr14_6379,0.0,,-17.4,2,3,0.8,0.0,0.0,96,96,0,0,no,True,22,True,22,58,Confident
chr14_6381,0.0,,-21.3,2,2,4.6,24.0,13.0,136,136,0,0,yes,True,21,True,23,58,Confident
chr14_6383,0.0,,-21.3,2,2,4.8,24.0,13.0,136,136,0,0,yes,True,21,True,23,58,Confident
chr14_6385,0.0,0.0,-18.1,2,0,580.6,77.0,11.0,1131,1104,0,27,yes,True,23,True,21,56,Confident
chr14_6388,0.0,,-15.6,2,1,1.1,59.0,2.0,102,102,0,0,yes,False,21,False,24,56,Confident
