provisional_id,five_prime_process_signal_selected_row_count_sum_over_mature_count_sum,num_locis,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
chr22_13709,0.9205574912891986,27,-22.4,2,1,1463.9,77,11,2870,2642,0,228,yes,False,23,False,24,65,Candidate
chr1_2106,0.7717391304347826,41,-21.7,2,1,1452.6,77,11,2852,2257,0,595,yes,False,23,True,22,60,Candidate
chr1_1969,0.3757062146892655,26,-21.6,1,2,783.7,77,11,1551,1062,0,489,no,False,22,True,22,61,falsepositive
chr11_4295,0.800625489,13,-45.4,1,1,653.9,77,11,1279,1110,0,169,yes,False,22,True,22,58,Candidate
chr14_6250,1.0,12,-41.7,2,3,614.3,77,11,1201,1173,0,28,yes,False,22,True,21,59,Candidate
chr14_6709,1.0,12,-41.6,2,3,614.1,77,11,1201,1173,0,28,yes,False,22,True,21,59,Candidate
chr11_4401,1.0,9,-24.6,1,2,188.5,77,11,369,244,0,125,yes,False,22,False,21,63,Candidate
chr14_6489,0.605072464,9,-16.0,6,4,136.9,77,11,276,225,0,51,no,False,18,False,24,43,falsepositive
chr2_11653,0.8448979591836735,5,-21.6,3,1,121.0,77,11,245,207,0,38,no,False,23,True,21,61,Candidate
chr21_13506,0.4742857142857143,4,-23.7,3,2,98.1,77,11,191,175,0,16,yes,False,22,True,22,56,falsepositive
chr2_12636,0.5454545454545454,5,-22.4,1,1,68.1,77,11,132,72,0,60,yes,False,22,True,22,61,falsepositive
chr13_6037,0.6870229007633588,2,-28.6,1,1,67.8,77,11,131,90,0,41,yes,False,22,True,20,53,falsepositive
chr1_1660,0.3076923076923077,5,-22.8,2,3,67.3,77,11,130,67,0,63,yes,False,22,False,23,59,falsepositive
chr3_15081,0.8482142857142857,3,-17.3,1,3,58.7,77,11,115,112,0,3,yes,False,22,True,20,59,falsepositive
chr7_19382,0.71875,3,-15.6,2,0,42.4,77,11,96,69,0,27,no,False,24,True,21,79,falsepositive
chrX_22772,1.0,2,-27.8,2,5,42.1,77,11,81,57,0,24,yes,False,25,True,22,61,falsepositive
chr19_10879,1.0,2,-25.9,5,1,33.0,77,11,70,50,0,20,no,False,21,False,24,61,falsepositive
chr1_1143,0.7551020408163265,4,-39.2,2,2,26.4,77,11,49,37,0,12,yes,False,22,False,22,61,Candidate
chr2_12656,0.8541666666666666,4,-21.7,2,3,25.7,77,11,48,41,0,7,yes,False,22,False,23,63,Candidate
chr3_15272,0.5227272727272727,2,-52.5,2,1,23.9,77,11,44,23,0,21,yes,False,22,False,21,76,falsepositive
chr19_10743,0.6749192680301399,20,-34.7,2,4,6.0,78,11,929,929,0,0,yes,True,23,True,21,70,Confident
chr11_3898,1.0,2,-32.2,1,4,5.9,80,8,78,78,0,0,yes,True,22,True,25,55,Confident
chr7_19219,1.0,2,-35.5,2,2,5.7,80,8,32,32,0,0,yes,True,22,False,22,60,Confident
chr15_7395,0.9029126213592232,2,-38.9,2,2,5.7,80,8,103,103,0,0,yes,True,22,False,22,60,Confident
chr22_13635,1.0,1,-37.3,2,2,5.5,80,8,19,19,0,0,yes,True,23,True,26,67,Confident
chr1_222,1.0,1,-26.3,2,2,5.5,80,8,36,36,0,0,yes,True,19,False,18,41,Confident
chr1_701,1.0,2,-22.4,2,2,5.5,80,8,38,38,0,0,yes,True,23,False,22,57,Confident
chr10_2630,1.0,1,-25.5,2,2,5.5,80,8,27,27,0,0,yes,True,22,False,21,61,Confident
chr5_17127,1.0,2,-27.6,2,2,5.4,80,8,96,96,0,0,yes,True,22,True,22,64,Confident
chr19_KI270865v1_alt_21931,1.0,1,-25.5,2,2,5.4,80,8,49,49,0,0,yes,True,21,True,20,55,Confident
chr18_9965,0.9939879759519038,15,-23.9,2,2,5.3,80,8,499,499,0,0,yes,True,23,True,23,58,Confident
chr2_11340,1.0,2,-26.2,2,2,5.2,80,8,48,48,0,0,yes,True,23,True,24,60,Confident
chr12_4481,1.0,1,-30.6,3,8,5.2,80,8,37,37,0,0,yes,True,20,False,25,61,Confident
chr2_11490,0.6527777777777778,5,-28.4,2,1,5.1,80,8,144,144,0,0,yes,True,22,True,22,57,Confident
chr10_3121,1.0,11,-21.6,2,3,5.1,80,8,858,858,0,0,yes,True,20,False,17,61,Confident
chr19_10838,1.0,1,-24.6,2,0,5.1,80,8,22,22,0,0,yes,True,19,True,17,64,Confident
chr6_18165,1.0,2,-17.7,2,3,5.0,80,8,78,78,0,0,yes,True,22,True,20,51,Confident
chr11_3843,1.0,1,-26.1,2,2,4.9,24,13,69,69,0,0,yes,True,22,False,22,52,Confident
chr1_1424,1.0,1,-29.5,2,0,4.6,24,13,62,62,0,0,yes,True,22,True,19,76,Confident
