provisional_id,five_prime_process_signal_selected_row_count_sum_over_mature_count_sum,num_locis,Folding Energy,3' Overhang Bot,3' Overhang Top,miRDeep2_score,mirDeep_sensitivity,sensitivity_uncertainty,total_read_count,mature_read_count,loop_read_count,star_read_count,significant_randfold_p-value,homologous_seed_in_miRBase,consensus_mature_sequence_length,mature_5'u_or_3'u,consensus_star_sequence_length,consensus_precursor_sequence_length,Candidate/Confident/no-mirna
chr9_20981,0.9685568682196524,621,-21.4,2,2,2543265.9,77.0,11.0,4988498,4988189,0,309,yes,True,21,False,21,58,Confident
chr11_4399,0.995997634765418,314,-18.4,2,2,1271287.1,77.0,11.0,2493567,2492776,0,791,yes,True,22,False,22,57,Confident
chr5_16813,0.92070675824752,414,-26.1,2,2,1113318.4,77.0,11.0,2183717,2183614,0,103,yes,True,21,True,21,55,Confident
chr3_14985,0.986897032484513,384,-24.6,2,3,439051.4,77.0,11.0,861171,859271,0,1900,yes,True,23,False,21,64,Confident
chr9_20985,0.9926063863503988,311,-20.4,2,0,425929.4,77.0,11.0,835434,834859,0,575,yes,True,23,True,22,62,Confident
chr19_10606,0.9927791102401358,299,-21.1,3,1,418334.4,77.0,11.0,820536,819432,0,1104,yes,True,23,True,23,61,Confident
chr11_4397,0.9961353548400323,272,-22.5,2,2,348626.8,77.0,11.0,683808,682836,707,265,yes,True,22,True,22,67,Confident
chr22_13824,0.9958041300293492,261,-29.9,2,2,347325.5,77.0,11.0,681255,680431,0,824,yes,True,22,True,22,70,Confident
chr9_20972,0.998202270895022,181,-37.9,2,2,338732.1,77.0,11.0,664399,663588,0,811,yes,True,22,True,22,78,Confident
chr9_20983,0.9642504758439232,436,-25.0,2,2,291367.7,77.0,11.0,571496,565454,0,6042,yes,True,21,True,22,63,Confident
chr11_4395,0.9916672076009684,224,-25.6,2,2,213563.1,77.0,11.0,418886,415783,0,3103,yes,True,22,True,21,61,Confident
chr21_13414,0.9920537426173752,207,-23.8,2,2,212201.8,77.0,11.0,416216,415164,0,1052,yes,True,22,True,22,61,Confident
chr17_8852,0.989407195052805,302,-24.8,1,2,192785.1,77.0,11.0,378131,377291,0,840,yes,True,23,True,21,59,Confident
chr3_14628,0.9984014052638484,193,-22.4,1,1,190437.1,77.0,11.0,373526,373453,0,73,yes,True,22,True,22,64,Confident
chr12_5273,0.9958686615373242,161,-24.7,2,2,179371.9,77.0,11.0,351821,351673,0,148,yes,True,22,True,22,60,Confident
chr3_14246,0.9957750250706536,150,-24.1,2,2,178966.2,77.0,11.0,351025,351008,0,17,yes,True,22,True,22,61,Confident
chr9_21105,0.4766589780309075,459,-20.9,2,1,139912.9,77.0,11.0,274431,132418,0,142013,yes,False,22,False,23,60,Confident
chr19_10608,0.9949991434392916,219,-29.0,1,2,139876.8,77.0,11.0,274353,273546,0,807,yes,True,20,True,22,61,Confident
chr19_10388,0.99142042239697,294,-25.9,3,4,133718.6,77.0,11.0,262274,259711,0,2563,yes,True,24,True,22,60,Confident
chr8_20740,0.9313191562932228,378,-29.9,3,1,112755.1,77.0,11.0,221155,161920,0,59235,yes,True,21,True,22,58,Confident
chr1_2029,0.9888514298182024,385,-21.8,2,1,94258.2,77.0,11.0,184876,142081,0,42795,yes,True,23,True,22,62,Confident
chr21_13410,0.9892980105493462,179,-25.9,3,3,90242.1,77.0,11.0,176997,176868,0,129,yes,True,23,False,23,60,Confident
chr17_9353,0.7817775792764627,334,-22.9,2,1,85717.8,77.0,11.0,168125,167925,18,182,yes,True,22,True,23,64,Confident
chr3_14626,0.9970853352902896,109,-18.0,3,2,73673.2,77.0,11.0,144500,144442,0,58,yes,True,22,True,23,61,Confident
chr20_12769,0.9867924392646328,182,-23.5,4,3,70651.2,77.0,11.0,138571,138482,0,89,yes,True,23,False,24,60,Confident
chr12_4802,0.997865700704914,104,-36.3,2,1,59998.4,77.0,11.0,117675,117603,0,72,yes,True,22,True,23,78,Confident
chr17_KI270861v1_alt_21878,0.8557387528966784,244,-25.9,2,2,57425.5,77.0,11.0,112629,96836,0,15793,yes,True,22,True,22,60,Confident
chr17_9010,0.8557387528966784,244,-25.9,2,2,57425.5,77.0,11.0,112629,96836,0,15793,yes,True,22,True,22,60,Confident
chr7_19212,0.9982399755127028,249,-20.9,2,3,55822.1,77.0,11.0,109484,104500,0,4984,yes,True,23,True,22,58,Confident
chr3_14738,0.9932194661402456,222,-30.1,2,2,51648.0,77.0,11.0,101296,58254,21,43021,yes,True,22,False,22,62,Confident
chr19_10386,0.9950680111833632,183,-29.2,2,2,49257.9,77.0,11.0,96608,95499,504,605,yes,True,22,True,22,67,Confident
chr1_1940,0.7740715018709898,297,-25.3,1,2,49188.8,77.0,11.0,96473,94534,0,1939,yes,True,21,True,23,60,Confident
chr19_10578,0.7729285923202273,293,-24.8,1,2,48811.1,77.0,11.0,95732,93793,0,1939,yes,True,21,True,23,62,Confident
chr9_21578,0.787605909652148,269,-22.7,1,2,47901.3,77.0,11.0,93948,93793,0,155,yes,True,21,True,23,60,Confident
chr5_16819,0.975622814311914,112,-32.6,2,2,44761.1,77.0,11.0,87787,87242,0,545,yes,True,22,False,22,60,Confident
chr8_20719,0.991264755911957,165,-26.7,3,3,39898.9,77.0,11.0,78252,78189,0,63,yes,True,24,True,22,63,Confident
